id	status	kind	title	goal
PWF-J001	ToDo	docs	Benchmark evidence lock	Record the latest full benchmark run as the official post-workflow evidence baseline without remediation.
PWF-J002	ToDo	docs	Patch-note closure design	Design the closure approach for active patch-note Missing rows before attachment edits.
PWF-J002A	ToDo	docs	Replacement-grade reference policy	Define the cross-document policy for source replacement, LLM use, coding agents, and test-case generation.
PWF-J003	ToDo	docs	Patch-note closure 7.1 001-010	Close or justify SRC-PATCH-PATCH-000001 through SRC-PATCH-PATCH-000010.
PWF-J004	ToDo	docs	Patch-note closure 7.1 011-020	Close or justify SRC-PATCH-PATCH-000011 through SRC-PATCH-PATCH-000020.
PWF-J005	ToDo	docs	Patch-note closure 7.1 021-030	Close or justify SRC-PATCH-PATCH-000021 through SRC-PATCH-PATCH-000030.
PWF-J006	ToDo	docs	Patch-note closure 7.1 031-040	Close or justify SRC-PATCH-PATCH-000031 through SRC-PATCH-PATCH-000040.
PWF-J007	ToDo	docs	Patch-note closure 7.1 041-050	Close or justify SRC-PATCH-PATCH-000041 through SRC-PATCH-PATCH-000050.
PWF-J008	ToDo	docs	Patch-note closure 7.1 051-060	Close or justify SRC-PATCH-PATCH-000051 through SRC-PATCH-PATCH-000060.
PWF-J009	ToDo	docs	Patch-note closure 7.1 061-070	Close or justify SRC-PATCH-PATCH-000061 through SRC-PATCH-PATCH-000070.
PWF-J010	ToDo	docs	Patch-note closure 7.1 071-080	Close or justify SRC-PATCH-PATCH-000071 through SRC-PATCH-PATCH-000080.
PWF-J011	ToDo	docs	Patch-note closure 7.1 081-088	Close or justify SRC-PATCH-PATCH-000081 through SRC-PATCH-PATCH-000088.
PWF-J012	ToDo	docs	Patch-note closure 7.1 089-096	Close or justify SRC-PATCH-PATCH-000089 through SRC-PATCH-PATCH-000096.
PWF-J013	ToDo	docs	Patch-note closure 7.3 097-105	Close or justify SRC-PATCH-PATCH-000097 through SRC-PATCH-PATCH-000105.
PWF-J014	ToDo	docs	Patch-note closure 7.3 106-115	Close or justify SRC-PATCH-PATCH-000106 through SRC-PATCH-PATCH-000115.
PWF-J015	ToDo	docs	SSL sample replacement gap remediation	Remediate or explicitly justify the sampled SSL/TLS appendix replacement gap before final coverage validation.
PWF-J016	ToDo	docs	Coverage closure validation	Validate source-to-attachment closure and update final audit readiness only when Missing and Retrieval-weak gates are closed.
PWF-J016A	ToDo	docs	Replacement-grade gap register	Apply the replacement-grade policy across source families and assign cross-document gaps to owner jobs.
PWF-J016B	ToDo	docs	Replacement remediation version release platform	Remediate replacement-grade version, release-note, platform, and patch-note gaps assigned by the gap register.
PWF-J017	ToDo	docs	Protected-topic blocker classification	Classify protected-topic blockers from the latest full benchmark by primary cause.
PWF-J018	ToDo	docs	Protected remediation version-sensitive properties	Fix or justify version-sensitive property-change protected blockers with targeted validation.
PWF-J019	ToDo	docs	Protected remediation security TLS	Fix or justify security/TLS protected blockers with targeted validation.
PWF-J020	ToDo	docs	Protected remediation backup recovery	Fix or justify backup/recovery protected blockers with targeted validation.
PWF-J021	ToDo	docs	Protected remediation destructive SQL	Fix or justify destructive SQL protected blockers with targeted validation.
PWF-J022	ToDo	docs	Protected remediation replication state	Fix or justify replication-state-change protected blockers with targeted validation.
PWF-J023	ToDo	docs	Protected-topic targeted validation	Run or record targeted validation for all protected-topic remediations.
PWF-J024	ToDo	docs	Residual failure classification and domain plan	Classify remaining non-protected failures and define bounded domain remediation waves.
PWF-J025	ToDo	docs	Domain remediation views performance	Remediate classified views/performance/monitoring failures with targeted validation.
PWF-J026	ToDo	docs	Domain remediation SQL data types	Remediate classified SQL/DDL/DML/data type failures with targeted validation.
PWF-J027	ToDo	docs	Domain remediation properties	Remediate classified non-protected property failures with targeted validation.
PWF-J028	ToDo	docs	Domain remediation replication security network	Remediate classified replication/CDC/security/network failures with targeted validation.
PWF-J029	ToDo	docs	Domain remediation errors operations	Remediate classified errors/troubleshooting and operations/admin failures with targeted validation.
PWF-J030	ToDo	docs	Domain remediation tools APIs connectors	Remediate classified tools/APIs/connectors/migration failures with targeted validation.
PWF-J031	ToDo	docs	Answer contract and instruction check	Use instruction-aware targeted checks to separate answer synthesis gaps from attachment gaps.
PWF-J031A	ToDo	docs	LLM developer and test readiness	Validate that the attachment set supports coding-agent implementation work and Altibase test-case generation.
PWF-J032	ToDo	docs	Final readiness gate and rerun	Run final validation and the full live benchmark only after closure and protected-topic gates are clean.
