upload_file_id	upload_path	source_attachment_path	attachment_title	included_sections	transformation_policy	required_sections_status	route_status	notes
UPKG-000	GPTs/upload_package/00_version_release_platform.md	GPTs/attachments/00_version_release_platform.md	00. Versions, Releases, and Supported Platforms	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J003 package file preserves validated attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	GPTs/attachments/01_getting_started_installation.md	01. Getting Started and Installation	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J003 package file preserves validated attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-002	GPTs/upload_package/02_administration_operations.md	GPTs/attachments/02_administration_operations.md	02. Administration and Operations	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J003 package file preserves validated attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	GPTs/attachments/03_sql_ddl_generation.md	03. SQL DDL Generation	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J004 package file preserves validated SQL/reference attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-004	GPTs/upload_package/04_sql_dml_oracle_compatibility.md	GPTs/attachments/04_sql_dml_oracle_compatibility.md	04. SQL DML and Oracle Compatibility	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J004 package file preserves validated SQL/reference attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	GPTs/attachments/05_data_types_properties.md	05. Data Types and Properties	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J004 package file preserves validated SQL/reference attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	GPTs/attachments/06_data_dictionary_performance_views.md	06. Data Dictionary and Performance Views	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J004 package file preserves validated SQL/reference attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	GPTs/attachments/07_error_messages_troubleshooting.md	07. Error Messages and Troubleshooting	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening;normalize_upload_cjk_leakage	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J005 package file preserves validated operations-deep attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	GPTs/attachments/08_performance_tuning_monitoring.md	08. Performance Tuning and Monitoring	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening;normalize_upload_cjk_leakage	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J005 package file preserves validated operations-deep attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	GPTs/attachments/09_replication_ha_cdc.md	09. Replication, HA, and CDC	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening;normalize_upload_cjk_leakage	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J005 package file preserves validated operations-deep attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-018	GPTs/upload_package/18_security_ssl_tls.md	GPTs/attachments/18_security_ssl_tls.md	18. Security and SSL/TLS	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening;normalize_upload_cjk_leakage	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J005 package file preserves validated operations-deep attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-010	GPTs/upload_package/10_psm_stored_external_procedures.md	GPTs/attachments/10_psm_stored_external_procedures.md	10. PSM, Stored Procedures, and External Procedures	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J006 package file preserves validated developer/client-tool attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-011	GPTs/upload_package/11_java_jdbc_spring.md	GPTs/attachments/11_java_jdbc_spring.md	11. Java, JDBC, and Spring	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J006 package file preserves validated developer/client-tool attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-012	GPTs/upload_package/12_c_cli_odbc_precompiler.md	GPTs/attachments/12_c_cli_odbc_precompiler.md	12. C, CLI, ODBC, Precompiler	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J006 package file preserves validated developer/client-tool attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
UPKG-013	GPTs/upload_package/13_isql_iloader_basic_tools.md	GPTs/attachments/13_isql_iloader_basic_tools.md	13. iSQL, iLoader, and Basic Tools	full_attachment_content_demoted_under_answer_ready_reference;package_metadata_promoted	preserve_answer_ready_reference;add_required_stage4_sections;no_customer_behavior_broadening	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	assembled	S4-J006 package file preserves validated developer/client-tool attachment content and adds source, playbook, stop-condition, validation, and limitation sections.
