id	status	kind	title	goal
J001	ToDo	docs	Requirements and source scope	Finalize encyclopedia-grade requirements, source corpus scope, and success criteria.
J002	ToDo	docs	Coverage matrix and gap register	Map selected source families to the 20 attachments and record item-level gaps.
J003	ToDo	docs	Catalog schema and extraction rules	Define reusable item block schemas and Korean-first extraction rules for later jobs.
J004	ToDo	docs	Property inventory baseline	Inventory property names and version availability from General Reference 1 sources.
J005	ToDo	docs	Initialization and storage properties	Expand initialization, path, memory, disk, volatile, log, and storage property blocks.
J006	ToDo	docs	LOB JSON and temporary object properties	Expand LOB, JSON, Temporary LOB, PSM, VARRAY, and object-size property blocks.
J007	ToDo	docs	Performance and optimizer properties	Expand buffer, checkpoint, optimizer, plan cache, sort, hash, and execution memory properties.
J008	ToDo	docs	Session network security and replication properties	Expand timeout, NLS, client, network, SSL/TLS, and replication property blocks.
J009	ToDo	docs	Property catalog QA and cross references	Validate property coverage, dynamic-change wording, cross-references, and remaining gaps.
J010	ToDo	docs	SQL syntax inventory and BNF rules	Inventory SQL statement families and define BNF conversion rules for SQL syntax diagrams.
J011	ToDo	docs	Database tablespace and datafile SQL	Expand database, tablespace, datafile, archive, backup, restore, and recovery SQL coverage.
J012	ToDo	docs	Table column constraint partition and queue DDL	Expand table, column, constraint, partition, LOB storage, and queue DDL coverage.
J013	ToDo	docs	Index statistics hint and plan SQL	Expand index, statistics, hint, execution plan, and tuning-related SQL coverage.
J014	ToDo	docs	Users privileges roles and schema object SQL	Expand user, privilege, role, sequence, synonym, view, and schema-object SQL coverage.
J015	ToDo	docs	DML functions expressions and JSON SQL	Expand DML, predicates, functions, expressions, JSON SQL, and Oracle-difference coverage.
J016	ToDo	docs	Replication and administrative SQL generation	Expand replication DDL, Log Analyzer SQL, property SQL, and administrative SQL generation.
J017	ToDo	docs	Dictionary view inventory baseline	Inventory dictionary and performance view names, version availability, and grouping.
J018	ToDo	docs	Storage log archive backup and tablespace views	Expand storage, datafile, log, archive, backup, checkpoint, and tablespace view blocks.
J019	ToDo	docs	Session statement wait lock and transaction views	Expand session, statement, SQL text, wait, lock, transaction, and service-thread views.
J020	ToDo	docs	Optimizer plan cache statistics and buffer views	Expand optimizer, plan cache, statistics, buffer pool, checkpoint, and performance views.
J021	ToDo	docs	Replication CDC security monitoring and SNMP views	Expand replication, CDC, security, Monitoring API, and SNMP view/API mappings.
J022	ToDo	docs	Error reference inventory and response schema	Inventory error code families and define error block and troubleshooting response schema.
J023	ToDo	docs	Storage backup recovery and tablespace errors	Expand storage, backup, recovery, datafile, log, and tablespace error coverage.
J024	ToDo	docs	SQL DDL data type JSON and LOB errors	Expand SQL, DDL, data type, constraint, JSON, LOB, and Temporary LOB error coverage.
J025	ToDo	docs	Client network security replication and tool errors	Expand client, network, SSL/TLS, replication, utility, and tool error coverage.
J026	ToDo	docs	Troubleshooting QA and unresolved error gaps	Validate troubleshooting structure, exact-code handling, escalation wording, and gaps.
J027	ToDo	docs	Installation platform startup and shutdown runbooks	Expand installation, platform, database creation, startup, shutdown, and first-run runbooks.
J028	ToDo	docs	Backup archive and incremental backup runbooks	Expand logical, offline, online, archive log, loganchor, and incremental backup runbooks.
J029	ToDo	docs	Restore recovery and media failure runbooks	Expand complete, incomplete, incremental, tablespace, datafile, temp file, and media recovery runbooks.
J030	ToDo	docs	Administration tablespace user and privilege runbooks	Expand admin, account, privilege, storage, tablespace lifecycle, and operational safety runbooks.
J031	ToDo	docs	Replication topology state and compatibility	Expand replication topology, object restrictions, states, modes, and compatibility checks.
J032	ToDo	docs	Replication operations CDC Log Analyzer and RepMgr	Expand replication operations, synchronization, CDC, Log Analyzer, and Replication Manager workflows.
J033	ToDo	docs	Network checks SSL TLS and replication SSL	Expand network diagnostics, ordinary TLS, certificate handling, and replication SSL separation.
J034	ToDo	docs	PSM stored and external procedures	Expand PSM, packages, triggers, VARRAY, external procedure, and library reference coverage.
J035	ToDo	docs	Java JDBC Spring Hibernate and adapters	Expand JDBC, Java compatibility, Spring, Hibernate, Adapter for JDBC, and Java-facing examples.
J036	ToDo	docs	CLI ODBC C Interface Precompiler and LOB APIs	Expand CLI, ODBC, Altibase C Interface, Precompiler, LOB, JSON LOB, and API diagnostics.
J037	ToDo	docs	iSQL iLoader utilities dataCompJ and dump tools	Expand iSQL, iLoader, utilities, dataCompJ, dump tools, and operational tool workflows.
J038	ToDo	docs	DB Link connectors Kubernetes and AKU	Expand DB Link, Hadoop, third-party connectors, Kubernetes, AKU, and cloud/container workflows.
J039	ToDo	docs	Migration Oracle compatibility Spatial NiFi and Tableau	Expand Migration Center, Adapter for Oracle, Spatial, altiShapeLoader, NiFi, and Tableau coverage.
J040	ToDo	docs	Retrieval multilingual validation and final readiness	Finalize retrieval structure, multilingual policy, validation reports, final gap review, and upload readiness.
