id	status	kind	title	goal
FCA-J001	Done	docs	Preflight and benchmark evidence lock	Confirm the current review/remediation cycle is complete, the worktree is clean, previous jobs are committed, and the latest full benchmark run is locked as audit evidence.
FCA-J002	Done	docs	Source corpus lock	Freeze the exact selected source roots, source families, authoritative Korean sources, extraction aids, exclusions, and customer-facing scope boundaries.
FCA-J003	Done	docs	Catalog schema and extraction scripts	Define the source item catalog schema, controlled vocabularies, stable ID rules, and reusable extraction and coverage-check scripts where practical.
FCA-J004	Done	docs	Release notes patch notes and platform catalog	Extract release, patch, feature, platform, upgrade, and exact version-boundary items into the source item catalog.
FCA-J005	Done	docs	Installation and getting-started catalog	Extract installation, environment setup, database creation, startup, shutdown, licensing, and first-check items.
FCA-J006	Done	docs	Administrator backup recovery archive and storage catalog	Extract backup, recovery, archive log, storage, server-mode, media-failure, and protected-operation items.
FCA-J007	Done	docs	Administrator tablespace account privilege catalog	Extract tablespace, datafile, user, role, privilege, account, schema administration, and validation-check items.
FCA-J008	Done	docs	SQL Reference DDL storage table index catalog	Extract tablespace, datafile, table, partition, index, constraint, LOB storage, queue, and related DDL grammar items.
FCA-J009	Done	docs	SQL Reference DCL admin replication destructive catalog	Extract DCL, user/privilege SQL, administrative SQL, replication SQL, Log Analyzer SQL, destructive SQL, privileges, and safety-boundary items.
FCA-J010	Done	docs	SQL Reference DML expression and function catalog	Extract DML, predicates, expressions, built-in functions, regular expression, object-name, and syntax restriction items.
FCA-J011	Done	docs	SQL Reference JSON LOB and Oracle-difference catalog	Extract JSON SQL, LOB SQL, data-type syntax restrictions, Oracle-difference, migration-risk, and compatibility items.
FCA-J012	Done	docs	General Reference data type catalog	Extract data type, LOB, JSON, Temporary LOB, direct-key, conversion, and data-type compatibility items.
FCA-J013	Done	docs	Property catalog core path and storage	Extract core identity, path, database-file, memory-directory, storage, log-anchor, and startup/restart property items.
FCA-J014	Done	docs	Property catalog memory log cache and capacity	Extract memory, disk, volatile, log-size, checkpoint, cache, result-cache, plan-cache, and capacity-limit property items.
FCA-J015	Done	docs	Property catalog optimizer session locale and timeout	Extract optimizer, normalization, lock, timeout, autocommit, session, locale, and performance property items.
FCA-J016	Done	docs	Property catalog security replication network and DB Link	Extract account, access-list, SSL/TLS, replication, network, port, SQL-apply, and DB Link property items.
FCA-J017	Done	docs	Dictionary and meta table catalog	Extract dictionary table, meta table, object metadata, privilege, PSM, trigger, job, and schema lookup items.
FCA-J018	Done	docs	Performance view operational catalog	Extract performance view names, purposes, version availability, operational grouping, query timing, and safe check SQL items.
