source_item_id	source_family	version_scope	source_path	source_heading	item_type	attachment_target	coverage_status	attachment_anchor	routing_aliases	matrix_notes	guardrail_reason	audit_job	evidence
SRC-REL-7.1-000001	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > release identity	release note	GPTs/attachments/00_version_release_platform.md	Covered	Quick Version Difference Summary > Altibase 7.1	release notes platform; release note; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; BUG token; changed behavior; 7.1.0.1.2; 2018.02; final 7.1 release line; maintenance	Catalog maps this item to an answer-ready attachment block; preserve exact literal tokens and version scope during later edits. Source summary: Altibase 7.1.0.1.2 is the final 7.1 release-line version and starts the maintained 7.1 line.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: rg -n 'Altibase 7.1.0.1.2 Release Notes|7.1.0.1.2' ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md GPTs/attachments/00_version_release_platform.md
SRC-REL-7.1-000002	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > system requirements and platform	platform rule	GPTs/attachments/00_version_release_platform.md	Covered	Platform Support Blocks > Common Platform Rules; Altibase 7.1 Server and Client Platforms	release notes platform; platform rule; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; platform; OS; hardware; JDK; support boundary; 1GB RAM; 1 CPU; 4GB; 2GB; 2 CPUs; 12GB; JDK 1.5; 64-bit; Windows; 32bit	Catalog maps this item to an answer-ready attachment block; preserve exact literal tokens and version scope during later edits. Source summary: The 7.1 release note sets minimum hardware and the initial 7.1 platform boundary, including JDK 1.5 or later, 64-bit server/client packages, and discontinuation of Windows and 32-bit client support in the initial rele...		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: source locator: ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md lines 132-158; rg -n 'Altibase 7.1 Server and Client Platforms|Minimum hardware' GPTs/attachments/00_version_release_platform.md
SRC-REL-7.1-000003	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > SQL feature expansion	release note	GPTs/attachments/00_version_release_platform.md	Covered-by-routing	Quick Version Difference Summary > Altibase 7.1; Attachment Cross-References	release notes platform; release note; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; BUG token; changed behavior; Partition Exchange; COMPACT; AGING; NOWAIT; WAIT; Table Function; LOCK TABLE; UNTIL NEXT DDL; ENABLE; DISABLE; FIRST; LAST	Catalog maps this item through attachment routing, cross-reference, alias, or index coverage; strengthen routing if later lexical checks miss it. Source summary: The 7.1 release note introduces SQL/table/partition/function additions including partition exchange, tablespace moves, COMPACT/AGING, NOWAIT/WAIT, table functions, trigger enable/disable, aggregate additions, and spat...		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py outline --source-family release_notes_platform ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md
SRC-REL-7.1-000004	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > replication and DBLink improvements	release note	GPTs/attachments/00_version_release_platform.md	Covered-by-routing	Quick Version Difference Summary > Altibase 7.1; Attachment Cross-References	release notes platform; release note; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; BUG token; changed behavior; REPLICATION_SQL_APPLY_ENABLE; REPLICATION_DDL_ENABLE_LEVEL; DBLINK_GLOBAL_TRANSACTION_LEVEL; REMOTE; SQL APPLY MODE; DDL; 2PC	Catalog maps this item through attachment routing, cross-reference, alias, or index coverage; strengthen routing if later lexical checks miss it. Source summary: The 7.1 release note adds replication SQL apply mode, replicated-table DDL controls, and DBLink two-phase commit/batch remote-function improvements.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: source locator: ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md lines 315-380; rg -n 'REPLICATION_SQL_APPLY_ENABLE|REPLICATION_DDL_ENABLE_LEVEL|DBLINK_GLOBAL_TRANSACTION_LEVEL|REMOTE' ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md GPTs/attachments/00_version_release_platform.md
SRC-REL-7.1-000005	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > PSM, tools, and performance improvements	release note	GPTs/attachments/00_version_release_platform.md	Covered-by-routing	Quick Version Difference Summary > Altibase 7.1; Attachment Cross-References	release notes platform; release note; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; BUG token; changed behavior; AUTHID; STANDARD; UTL_COPYSWAP; UTL_SMTP; PRAGMA AUTONOMOUS_TRANSACTION; PRAGMA EXCEPTION_INIT; JDBC Adapter; iLoader; -prefetch_rows; dataCompJ; Result Cache; IPCDA	Catalog maps this item through attachment routing, cross-reference, alias, or index coverage; strengthen routing if later lexical checks miss it. Source summary: The 7.1 release note adds PSM/package functionality, client-tool changes, iLoader prefetch, dataCompJ, result cache, automatic statistics, hints, IPCDA, and memory/index performance improvements.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: rg -n 'AUTHID|UTL_COPYSWAP|UTL_SMTP|PRAGMA|iLoader|dataCompJ|Result Cache|IPCDA' ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md GPTs/attachments/00_version_release_platform.md
SRC-REL-7.1-000006	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > removals and unsupported functions	compatibility rule	GPTs/attachments/00_version_release_platform.md	Covered	Quick Version Difference Summary > Altibase 7.1; Version-Specific Answer Rules	release notes platform; compatibility rule; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; compatibility; version boundary; unsupported behavior; Windows; 32-bit clients; DataPort; Disaster Recovery; shared memory mode; JDK/JRE 1.4	Catalog maps this item to an answer-ready attachment block; preserve exact literal tokens and version scope during later edits. Source summary: The 7.1 release note removes or discontinues Windows server/client support in the initial release note, 32-bit clients, DataPort, disaster recovery, shared memory mode, and JDK/JRE 1.4 support.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: source locator: ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md lines 735-753; rg -n 'DataPort|Disaster Recovery|JDK/JRE 1.4|Windows|32-bit|shared memory' GPTs/attachments/00_version_release_platform.md
SRC-REL-7.1-000007	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > compatibility versions	compatibility rule	GPTs/attachments/00_version_release_platform.md	Covered	Component Version Matrix; Upgrade Risk Blocks	release notes platform; compatibility rule; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; compatibility; version boundary; unsupported behavior; 6.5.1; 8.5.1; 7.1.6; 7.4.2; database binary version; meta version; communication protocol version; replication protocol version; V$VERSION	Catalog maps this item to an answer-ready attachment block; preserve exact literal tokens and version scope during later edits. Source summary: The 7.1 release note records component compatibility versions: database binary 6.5.1, meta 8.5.1, communication protocol 7.1.6, and replication protocol 7.4.2.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: source locator: ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md lines 758-803; rg -n '6.5.1|8.5.1|7.1.6|7.4.2|V\$VERSION' GPTs/attachments/00_version_release_platform.md
SRC-REL-7.1-000008	release_notes_platform	7.1	ReleaseNotes/kor/Altibase_7_1_0_1_2_Release_Notes.md	Altibase 7.1.0.1.2 Release Notes > property, meta table, and performance view changes	version note	GPTs/attachments/05_data_types_properties.md	Covered	Property Item Group: Release-Note Property and View Deltas	release notes platform; version note; data types; properties; property defaults; ALTER SYSTEM; V$PROPERTY; patch boundary; release note; new properties; changed properties; deleted properties; meta table; performance view	Remediated by FCA-J041 with answer-ready source detail in the scoped attachment.		FCA-J041	rg -n 'Source Storage Size Reference|Temporary LOB Source Examples|JSON path expression source example|Direct Path, Index, Lock|Release-Note Property and View Deltas' GPTs/attachments/05_data_types_properties.md
SRC-REL-7.3-000001	release_notes_platform	7.3	ReleaseNotes/kor/Altibase_7_3_0_0_1_Release_Notes.md	Altibase 7.3.0.0.1 Release Notes > release identity	release note	GPTs/attachments/00_version_release_platform.md	Covered	Quick Version Difference Summary > Altibase 7.3	release notes platform; release note; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; BUG token; changed behavior; 7.3.0.0.1; 2023.08	Catalog maps this item to an answer-ready attachment block; preserve exact literal tokens and version scope during later edits. Source summary: Altibase 7.3.0.0.1 release notes are dated 2023.08 and define the 7.3 release baseline.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: rg -n 'Altibase 7.3.0.0.1 Release Notes|2023.08|7.3.0.0.1' ReleaseNotes/kor/Altibase_7_3_0_0_1_Release_Notes.md GPTs/attachments/00_version_release_platform.md
SRC-REL-7.3-000002	release_notes_platform	7.3	ReleaseNotes/kor/Altibase_7_3_0_0_1_Release_Notes.md	Altibase 7.3.0.0.1 Release Notes > system requirements and platform	platform rule	GPTs/attachments/00_version_release_platform.md	Covered	Platform Support Blocks > Altibase 7.3 Server and Client Platforms	release notes platform; platform rule; release notes; patch notes; supported platforms; upgrade risk; Altibase 8.1 verified source; platform; OS; hardware; JDK; support boundary; 1GB RAM; 1 CPU; 4GB; JDK 1.8; 64-bit; Red Hat Enterprise Linux 6; Red Hat Enterprise Linux 7; Red Hat Enterprise Linux 8; Windows 2008; Windows 10	Catalog maps this item to an answer-ready attachment block; preserve exact literal tokens and version scope during later edits. Source summary: The 7.3 release note states minimum hardware, 64-bit server/client scope, JDK 1.8 or later, server/client support for listed Unix/Linux platforms, and Windows client-only support in the initial release note.		FCA-J040	matrix build: python3 GPTs/reports/full_coverage_audit/scripts/fca_catalog_tools.py build-matrix --audit-job FCA-J040; catalog evidence: source locator: ReleaseNotes/kor/Altibase_7_3_0_0_1_Release_Notes.md lines 53-88; rg -n 'Altibase 7.3 Server and Client Platforms|JDK/JRE 1.8' GPTs/attachments/00_version_release_platform.md
