ref_id	class	decided_by	rationale	raster_readable
img-00001	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00002	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00003	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00004	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00005	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00006	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00007	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00008	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00009	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00010	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00011	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00012	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00013	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00014	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00015	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00016	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00017	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00018	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00019	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00020	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00021	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00022	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00023	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00024	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00025	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00026	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00027	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00028	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00029	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00030	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00031	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00032	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00033	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00034	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00035	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00036	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00037	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00038	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00039	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00040	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00041	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00042	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00043	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00044	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00045	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00046	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00047	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00048	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00049	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00050	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00051	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00052	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00053	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00054	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00055	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00056	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00057	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00058	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00059	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00060	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00061	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00062	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00063	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00064	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00065	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00066	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00067	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00068	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00069	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00070	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00071	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00072	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00073	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00074	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00075	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00076	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00077	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00078	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00079	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00080	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00081	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00082	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00083	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00084	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00085	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00086	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00087	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00088	E	vision	decision flowchart: index-type classification by YES/No decision diamonds	yes
img-00089	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
