source_id	shard_id	shard_path	block_id	order_in_shard	source_start_line	source_end_line	source_sha256	extracted_body_sha256	block_byte_count	block_line_count	block_estimated_tokens	shard_estimated_tokens	upload_intended	validation_status	notes
SRC-000018	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000001	1	1	10503	aace8d29a80a7f2e2dbff8dbc1facc73189f761ebfcc4b16c039f5c64a75fcc2	96ea65019765eb9b384c331e1854f6fafaf89e32a23cad38cd1bb3e3dfeacbaf	541716	10531	135140	931168	no	pass	Source bytes copied into the source-pack shard body with 2 image-recovery sidecar conversion(s) inserted after the matching image reference.
SRC-000049	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000002	2	1	10426	0e2aa32e4b2854fa57363ab83b51a8f7a6864e3b74486ddc8aa9a631571d956a	7206d5402f78fd523eb74e83562b19139fa5d5231e3c44c6574d9baf03e529b6	592365	10454	82684	931168	no	pass	Source bytes copied into the source-pack shard body with 2 image-recovery sidecar conversion(s) inserted after the matching image reference.
SRC-000082	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000003	3	1	10508	ed22270deedcdfd21475feccb09dace28621eee30bb094e75987c712dd887d99	ef44db9a1ca5673563f452481efa0a03f25bbe2fb813c6bd9688d080de9f2a86	541330	10536	135043	931168	no	pass	Source bytes copied into the source-pack shard body with 2 image-recovery sidecar conversion(s) inserted after the matching image reference.
SRC-000113	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000004	4	1	10416	9b225dd3487ce5cc5daefa059f36509bb66244505a6e51c0e6c0be30e3c1b3bf	216a80b84d2a48b82e01db56dc5178a7e05ecf6ec5397b6f473050cdd0a1432d	592839	10444	82752	931168	no	pass	Source bytes copied into the source-pack shard body with 2 image-recovery sidecar conversion(s) inserted after the matching image reference.
SRC-000143	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000005	5	1	10623	e74d48a9f816a21b5f6642aab04b8843da2121fdff4590102fc24eba0da43053	9d92bd1ad983bd5c3d46e8700087e98b44e685a12af468359b208e9331a2f4dc	549803	10651	137153	931168	no	pass	Source bytes copied into the source-pack shard body with 2 image-recovery sidecar conversion(s) inserted after the matching image reference.
SRC-000173	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000006	6	1	10518	7c0f13b42c5681a75d6abfa2c9772db0e3f4fe5c9c06026132686d30510de358	6444eba8b12b8b0762101d815f23304680b53b08872e4df2d9f5ed2112500fd2	602716	10546	84015	931168	no	pass	Source bytes copied into the source-pack shard body with 2 image-recovery sidecar conversion(s) inserted after the matching image reference.
AID-SRC-000001	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000007	7	1	228	790709b97f513785e6c62aaab026b12d9219a9c8114b3dc8a7179a6a1a1667ce	790709b97f513785e6c62aaab026b12d9219a9c8114b3dc8a7179a6a1a1667ce	8054	228	2014	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000002	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000008	8	1	322	bad86818add1c8e630d1a78a8d895e24eedd5ab8635c254f0f17f5fe37d762da	bad86818add1c8e630d1a78a8d895e24eedd5ab8635c254f0f17f5fe37d762da	13054	322	3264	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000003	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000009	9	1	63	a0203202b44471fd8df47a768991162219b61ea3938556926338859d987909bc	a0203202b44471fd8df47a768991162219b61ea3938556926338859d987909bc	2916	63	729	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000004	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000010	10	1	40	ab142434e511061c68f747ca0a4e58657d5aa652f34d14671947fe8f0da88154	ab142434e511061c68f747ca0a4e58657d5aa652f34d14671947fe8f0da88154	1668	40	417	931168	no	pass	Exact source bytes copied into the source-pack shard body.
