conflict_id	source_id	source_family	version_scope	source_path	source_pack_shard_id	source_pack_block_id	baseline_block_id	current_routing_status	assigned_remediation_job	intended_disposition
CONF-000008	SRC-000024	stored_external_procedures	7.1	Manuals/Altibase_7.1/eng/External Procedures Manual.md	SHARD-014	BLOCK-000894	KAE-BLOCK-000278	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000031	log_analyzer	7.1	Manuals/Altibase_7.1/eng/Log Analyzer User's Manual.md	SHARD-010	BLOCK-000563	KAE-BLOCK-000280	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000032	monitoring_api_snmp	7.1	Manuals/Altibase_7.1/eng/Monitoring API Developer's Guide.md	SHARD-010	BLOCK-000603	KAE-BLOCK-000281	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000035	performance_tuning	7.1	Manuals/Altibase_7.1/eng/Performance Tuning Guide.md	SHARD-012	BLOCK-000811	KAE-BLOCK-000283	aligned_baseline	S1R-J004	aligned_baseline
CONF-000008	SRC-000037	source_index	7.1	Manuals/Altibase_7.1/eng/README.md	SHARD-012	BLOCK-000856	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000039	monitoring_api_snmp	7.1	Manuals/Altibase_7.1/eng/SNMP Agent Guide.md	SHARD-010	BLOCK-000604	KAE-BLOCK-000282	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000042	stored_external_procedures	7.1	Manuals/Altibase_7.1/eng/Stored Procedures Manual.md	SHARD-014	BLOCK-000895	KAE-BLOCK-000277	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000055	stored_external_procedures	7.1	Manuals/Altibase_7.1/kor/External Procedures Manual.md	SHARD-014	BLOCK-000896	KAE-BLOCK-000278	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000062	log_analyzer	7.1	Manuals/Altibase_7.1/kor/Log Analyzer User's Manual.md	SHARD-010	BLOCK-000564	KAE-BLOCK-000280	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000063	monitoring_api_snmp	7.1	Manuals/Altibase_7.1/kor/Monitoring API Developer's Guide.md	SHARD-011	BLOCK-000605	KAE-BLOCK-000281	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000066	source_index	7.1	Manuals/Altibase_7.1/kor/PDF/README.md	SHARD-012	BLOCK-000857	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000067	performance_tuning	7.1	Manuals/Altibase_7.1/kor/Performance Tuning Guide.md	SHARD-012	BLOCK-000812	KAE-BLOCK-000283	aligned_baseline	S1R-J004	aligned_baseline
CONF-000008	SRC-000069	source_index	7.1	Manuals/Altibase_7.1/kor/README.md	SHARD-012	BLOCK-000858	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000071	monitoring_api_snmp	7.1	Manuals/Altibase_7.1/kor/SNMP Agent Guide.md	SHARD-011	BLOCK-000606	KAE-BLOCK-000282	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000073	source_index	7.1	Manuals/Altibase_7.1/kor/Sharding(deprecated).md	SHARD-012	BLOCK-000859	KAE-BLOCK-000285	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000075	stored_external_procedures	7.1	Manuals/Altibase_7.1/kor/Stored Procedures Manual.md	SHARD-015	BLOCK-000897	KAE-BLOCK-000277	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000088	stored_external_procedures	7.3	Manuals/Altibase_7.3/eng/External Procedures Manual.md	SHARD-015	BLOCK-000898	KAE-BLOCK-000278	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000095	log_analyzer	7.3	Manuals/Altibase_7.3/eng/Log Analyzer User's Manual.md	SHARD-010	BLOCK-000565	KAE-BLOCK-000280	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000096	monitoring_api_snmp	7.3	Manuals/Altibase_7.3/eng/Monitoring API Developer's Guide.md	SHARD-011	BLOCK-000607	KAE-BLOCK-000281	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000098	performance_tuning	7.3	Manuals/Altibase_7.3/eng/Performance Tuning Guide.md	SHARD-012	BLOCK-000813	KAE-BLOCK-000283	aligned_baseline	S1R-J004	aligned_baseline
CONF-000008	SRC-000100	source_index	7.3	Manuals/Altibase_7.3/eng/README.md	SHARD-012	BLOCK-000860	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000102	monitoring_api_snmp	7.3	Manuals/Altibase_7.3/eng/SNMP Agent Guide.md	SHARD-011	BLOCK-000608	KAE-BLOCK-000282	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000105	stored_external_procedures	7.3	Manuals/Altibase_7.3/eng/Stored Procedures Manual.md	SHARD-015	BLOCK-000899	KAE-BLOCK-000277	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000119	stored_external_procedures	7.3	Manuals/Altibase_7.3/kor/External Procedures Manual.md	SHARD-015	BLOCK-000901	KAE-BLOCK-000278	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000126	log_analyzer	7.3	Manuals/Altibase_7.3/kor/Log Analyzer User's Manual.md	SHARD-010	BLOCK-000566	KAE-BLOCK-000280	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000127	monitoring_api_snmp	7.3	Manuals/Altibase_7.3/kor/Monitoring API Developer's Guide.md	SHARD-011	BLOCK-000609	KAE-BLOCK-000281	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000129	performance_tuning	7.3	Manuals/Altibase_7.3/kor/Performance Tuning Guide.md	SHARD-012	BLOCK-000814	KAE-BLOCK-000283	aligned_baseline	S1R-J004	aligned_baseline
CONF-000008	SRC-000131	source_index	7.3	Manuals/Altibase_7.3/kor/README.md	SHARD-012	BLOCK-000861	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000133	monitoring_api_snmp	7.3	Manuals/Altibase_7.3/kor/SNMP Agent Guide.md	SHARD-011	BLOCK-000610	KAE-BLOCK-000282	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000136	stored_external_procedures	7.3	Manuals/Altibase_7.3/kor/Stored Procedures Manual.md	SHARD-015	BLOCK-000902	KAE-BLOCK-000277	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000149	stored_external_procedures	8.1_verified	Manuals/Altibase_trunk/eng/External Procedures Manual.md	SHARD-015	BLOCK-000903	KAE-BLOCK-000278	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000156	log_analyzer	8.1_verified	Manuals/Altibase_trunk/eng/Log Analyzer User's Manual.md	SHARD-010	BLOCK-000567	KAE-BLOCK-000280	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000157	monitoring_api_snmp	8.1_verified	Manuals/Altibase_trunk/eng/Monitoring API Developer's Guide.md	SHARD-011	BLOCK-000611	KAE-BLOCK-000281	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000159	performance_tuning	8.1_verified	Manuals/Altibase_trunk/eng/Performance Tuning Guide.md	SHARD-012	BLOCK-000815	KAE-BLOCK-000283	aligned_baseline	S1R-J004	aligned_baseline
CONF-000008	SRC-000162	monitoring_api_snmp	8.1_verified	Manuals/Altibase_trunk/eng/SNMP Agent Guide.md	SHARD-011	BLOCK-000612	KAE-BLOCK-000282	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000165	stored_external_procedures	8.1_verified	Manuals/Altibase_trunk/eng/Stored Procedures Manual.md	SHARD-015	BLOCK-000904	KAE-BLOCK-000277	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000179	stored_external_procedures	8.1_verified	Manuals/Altibase_trunk/kor/External Procedures Manual.md	SHARD-015	BLOCK-000906	KAE-BLOCK-000278	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000186	log_analyzer	8.1_verified	Manuals/Altibase_trunk/kor/Log Analyzer User's Manual.md	SHARD-010	BLOCK-000568	KAE-BLOCK-000280	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000187	monitoring_api_snmp	8.1_verified	Manuals/Altibase_trunk/kor/Monitoring API Developer's Guide.md	SHARD-011	BLOCK-000613	KAE-BLOCK-000281	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000189	performance_tuning	8.1_verified	Manuals/Altibase_trunk/kor/Performance Tuning Guide.md	SHARD-012	BLOCK-000816	KAE-BLOCK-000283	aligned_baseline	S1R-J004	aligned_baseline
