playbook_id	playbook_path	playbook_title	domain	validation_status	source_id	source_origin	source_path	source_role	source_family	version_scope	authority_label	source_pack_shard_id	source_pack_block_id	source_pack_block_ref	source_pack_validation_status	aid_route_or_tier	aid_tier_ids	korean_aligned_baseline_block_ids	generated_artifact_types	protected_topic	guardrail_ids	remaining_gap_ids	remaining_gap_class	notes
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000060	repo	Manuals/Altibase_7.1/kor/Installation Guide.md	product_source	getting_started_installation	7.1	Korean authoritative	SHARD-009	BLOCK-000529	SRC-000060/BLOCK-000529	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000029	repo	Manuals/Altibase_7.1/eng/Installation Guide.md	product_source	getting_started_installation	7.1	English extraction aid	SHARD-009	BLOCK-000527	SRC-000029/BLOCK-000527	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000124	repo	Manuals/Altibase_7.3/kor/Installation Guide.md	product_source	getting_started_installation	7.3	Korean authoritative	SHARD-009	BLOCK-000533	SRC-000124/BLOCK-000533	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000093	repo	Manuals/Altibase_7.3/eng/Installation Guide.md	product_source	getting_started_installation	7.3	English extraction aid	SHARD-009	BLOCK-000531	SRC-000093/BLOCK-000531	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000184	repo	Manuals/Altibase_trunk/kor/Installation Guide.md	product_source	getting_started_installation	8.1_verified	Korean authoritative; Altibase 8.1 verified source	SHARD-009	BLOCK-000537	SRC-000184/BLOCK-000537	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000154	repo	Manuals/Altibase_trunk/eng/Installation Guide.md	product_source	getting_started_installation	8.1_verified	English extraction aid; Altibase 8.1 verified source	SHARD-009	BLOCK-000535	SRC-000154/BLOCK-000535	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000058	repo	Manuals/Altibase_7.1/kor/Getting Started Guide.md	product_source	getting_started_installation	7.1	Korean authoritative	SHARD-009	BLOCK-000528	SRC-000058/BLOCK-000528	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000027	repo	Manuals/Altibase_7.1/eng/Getting Started Guide.md	product_source	getting_started_installation	7.1	English extraction aid	SHARD-009	BLOCK-000526	SRC-000027/BLOCK-000526	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000122	repo	Manuals/Altibase_7.3/kor/Getting Started Guide.md	product_source	getting_started_installation	7.3	Korean authoritative	SHARD-009	BLOCK-000532	SRC-000122/BLOCK-000532	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000091	repo	Manuals/Altibase_7.3/eng/Getting Started Guide.md	product_source	getting_started_installation	7.3	English extraction aid	SHARD-009	BLOCK-000530	SRC-000091/BLOCK-000530	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000182	repo	Manuals/Altibase_trunk/kor/Getting Started Guide.md	product_source	getting_started_installation	8.1_verified	Korean authoritative; Altibase 8.1 verified source	SHARD-009	BLOCK-000536	SRC-000182/BLOCK-000536	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000152	repo	Manuals/Altibase_trunk/eng/Getting Started Guide.md	product_source	getting_started_installation	8.1_verified	English extraction aid; Altibase 8.1 verified source	SHARD-009	BLOCK-000534	SRC-000152/BLOCK-000534	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000049	repo	Manuals/Altibase_7.1/kor/Administrator's Manual.md	product_source	administrator_operations	7.1	Korean authoritative	SHARD-001	BLOCK-000002	SRC-000049/BLOCK-000002	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000018	repo	Manuals/Altibase_7.1/eng/Administrator's Manual.md	product_source	administrator_operations	7.1	English extraction aid	SHARD-001	BLOCK-000001	SRC-000018/BLOCK-000001	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000113	repo	Manuals/Altibase_7.3/kor/Administrator's Manual.md	product_source	administrator_operations	7.3	Korean authoritative	SHARD-001	BLOCK-000004	SRC-000113/BLOCK-000004	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000082	repo	Manuals/Altibase_7.3/eng/Administrator’s Manual.md	product_source	administrator_operations	7.3	English extraction aid	SHARD-001	BLOCK-000003	SRC-000082/BLOCK-000003	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000173	repo	Manuals/Altibase_trunk/kor/Administrator's Manual.md	product_source	administrator_operations	8.1_verified	Korean authoritative; Altibase 8.1 verified source	SHARD-001	BLOCK-000006	SRC-000173/BLOCK-000006	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	SRC-000143	repo	Manuals/Altibase_trunk/eng/Administrator’s Manual.md	product_source	administrator_operations	8.1_verified	English extraction aid; Altibase 8.1 verified source	SHARD-001	BLOCK-000005	SRC-000143/BLOCK-000005	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	AID-SRC-000426	aid	~/AID/llm-reference/01-installation-upgrade-platform.md	aid_source	aid_llm_reference	aid	AID source-backed llm-reference	SHARD-003	BLOCK-000436	AID-SRC-000426/BLOCK-000436	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	pass	AID-SRC-000428	aid	~/AID/llm-reference/03-operation-administration-security.md	aid_source	aid_llm_reference	aid	AID source-backed llm-reference	SHARD-003	BLOCK-000438	AID-SRC-000428/BLOCK-000438	pass	primary_working_source		KAE-BLOCK-000272;KAE-BLOCK-000276	commands;configuration;runbook;validation_sql	yes	CONF-000004;CONF-000007	APG-S2-J012-003;APG-S2-J012-004	residual_risk_recheck_required;downstream_stage3_4_work	Source-backed guarded route for install prerequisites, environment setup, database creation, startup phases, shutdown modes, and first checks.
APB-000002	GPTs/agent_playbooks/ddl_generation.md	DDL And DCL Generation Playbook	DDL generation	pass	SRC-000049	repo	Manuals/Altibase_7.1/kor/Administrator's Manual.md	product_source	administrator_operations	7.1	Korean authoritative	SHARD-001	BLOCK-000002	SRC-000049/BLOCK-000002	pass	not_used_yet		KAE-BLOCK-000272;KAE-BLOCK-000273	DDL;DCL;SQL;validation_sql	yes	CONF-000004;CONF-000005	APG-S2-J012-003	residual_risk_recheck_required	Source-backed DDL and DCL first-draft route with implicit-commit, destructive-operation, privilege, storage, replication, and version guardrails.
APB-000002	GPTs/agent_playbooks/ddl_generation.md	DDL And DCL Generation Playbook	DDL generation	pass	SRC-000018	repo	Manuals/Altibase_7.1/eng/Administrator's Manual.md	product_source	administrator_operations	7.1	English extraction aid	SHARD-001	BLOCK-000001	SRC-000018/BLOCK-000001	pass	not_used_yet		KAE-BLOCK-000272;KAE-BLOCK-000273	DDL;DCL;SQL;validation_sql	yes	CONF-000004;CONF-000005	APG-S2-J012-003	residual_risk_recheck_required	Source-backed DDL and DCL first-draft route with implicit-commit, destructive-operation, privilege, storage, replication, and version guardrails.
APB-000002	GPTs/agent_playbooks/ddl_generation.md	DDL And DCL Generation Playbook	DDL generation	pass	SRC-000056	repo	Manuals/Altibase_7.1/kor/General Reference-1.Data Types & Altibase Properties.md	product_source	general_reference_1_datatypes_properties	7.1	Korean authoritative	SHARD-008	BLOCK-000515	SRC-000056/BLOCK-000515	pass	not_used_yet		KAE-BLOCK-000272;KAE-BLOCK-000273	DDL;DCL;SQL;validation_sql	yes	CONF-000004;CONF-000005	APG-S2-J012-003	residual_risk_recheck_required	Source-backed DDL and DCL first-draft route with implicit-commit, destructive-operation, privilege, storage, replication, and version guardrails.
APB-000002	GPTs/agent_playbooks/ddl_generation.md	DDL And DCL Generation Playbook	DDL generation	pass	SRC-000025	repo	Manuals/Altibase_7.1/eng/General Reference-1.Data Types & Altibase Properties.md	product_source	general_reference_1_datatypes_properties	7.1	English extraction aid	SHARD-007	BLOCK-000514	SRC-000025/BLOCK-000514	pass	not_used_yet		KAE-BLOCK-000272;KAE-BLOCK-000273	DDL;DCL;SQL;validation_sql	yes	CONF-000004;CONF-000005	APG-S2-J012-003	residual_risk_recheck_required	Source-backed DDL and DCL first-draft route with implicit-commit, destructive-operation, privilege, storage, replication, and version guardrails.
APB-000002	GPTs/agent_playbooks/ddl_generation.md	DDL And DCL Generation Playbook	DDL generation	pass	SRC-000057	repo	Manuals/Altibase_7.1/kor/General Reference-2.The Data Dictionary.md	product_source	general_reference_2_dictionary_views	7.1	Korean authoritative	SHARD-008	BLOCK-000521	SRC-000057/BLOCK-000521	pass	not_used_yet		KAE-BLOCK-000272;KAE-BLOCK-000273	DDL;DCL;SQL;validation_sql	yes	CONF-000004;CONF-000005	APG-S2-J012-003	residual_risk_recheck_required	Source-backed DDL and DCL first-draft route with implicit-commit, destructive-operation, privilege, storage, replication, and version guardrails.
