id	status	kind	title	goal
S1-J001	ToDo	mixed	Stage preflight and schema design	Confirm Stage 1 scope, inspect requirements and durable evidence, define schemas and design notes for source manifest, source pack, AID tiering, and Korean-aligned English baseline.
S1-J002	ToDo	mixed	Repository source manifest	Inventory selected repository-local sources, approved support evidence, exclusions, and source IDs into deterministic manifests without treating all GPTs/reports files as source by default.
S1-J003	ToDo	mixed	AID tier manifest	Classify AID source groups into upload-content, evidence-only, accepted limitation, conflict, recheck, or excluded tiers while preserving AID evidence classifications.
S1-J004	ToDo	mixed	Source pack scripts and shards	Implement or update deterministic source-pack scripts, generate source-preserving shards with source boundaries, and create source-to-shard mapping.
S1-J005	ToDo	mixed	Source pack validation and notes	Validate exact source extraction, checksums, token/byte estimates, upload-order guidance, and source-pack GPT instruction notes.
S1-J006	ToDo	mixed	Korean English pairing inventory	Inventory repository-local paired Korean and English sources, define baseline block schema, and create the Korean-aligned English baseline manifest.
S1-J007	ToDo	mixed	Admin operations baseline batch	Generate Korean-aligned English baseline blocks for installation, administration, storage, backup/recovery, operations, and protected-topic product manual sources, or record scoped not-ready gaps.
S1-J008	ToDo	mixed	SQL reference baseline batch	Generate Korean-aligned English baseline blocks for SQL, DDL, DCL, DML, data types, properties, dictionary/performance views, errors, and troubleshooting product manual sources, or record scoped not-ready gaps.
S1-J009	ToDo	mixed	Client tool integration baseline batch	Generate Korean-aligned English baseline blocks for client interfaces, APIs, tools, utilities, migration, DB Link, connectors, Spatial, NiFi, Tableau, Kubernetes/AKU, and integration sources, or record scoped not-ready gaps.
S1-J010	ToDo	mixed	Release patch technical AID baseline batch	Generate or reuse Korean-aligned English baseline blocks for release notes, patch notes, technical documents, third-party guides, and AID upload candidates, or record scoped not-ready gaps.
S1-J011	ToDo	mixed	Baseline validation and conflict register	Validate baseline traceability, alignment status, unresolved Korean/English conflicts, AID reuse decisions, and conflict/recheck records.
S1-J012	ToDo	mixed	Stage 1 integration cross-check	Check source-pack to baseline coverage, AID tier coverage, downstream routing readiness, and remaining not-ready gaps before final readiness review.
S1-J013	ToDo	mixed	Stage 1 readiness review	Run Stage 1 validation, review all source-pack and baseline deliverables, write readiness or not-ready report, and commit final Stage 1 readiness evidence.
