crosswalk_row_type	source_id	source_origin	source_path	source_role	source_family	version_scope	authority_label	aid_tier	aid_source_class	aid_coverage_status	aid_allowed_downstream_use	aid_required_label	selection_decision	extraction_mode	source_pack_shard_id	source_pack_block_id	source_pack_validation_status	baseline_block_ids	baseline_alignment_statuses	baseline_downstream_uses	baseline_source_types	conflict_or_recheck_ids	downstream_candidate_use	stage2_routing_status	no_baseline_or_blocker_reason	last_verified_job
source_pack_source	SRC-000001	repo	3rd Party Guide for Altibase/README.md	third_party_guide	third_party_guides	multi	Repository source evidence						include_exact	exact_markdown	SHARD-015	BLOCK-000912	pass	KAE-BLOCK-000243;KAE-BLOCK-000275	excluded;aligned	source_pack_only_not_korean_aligned;primary_working_source_after_alignment	repo_no_language_tree;hybrid		candidate_ready_for_stage2_routing	ready_for_guarded_playbook_drafting		S1-J012
source_pack_source	SRC-000002	repo	3rd Party Guide for Altibase/eng/Altibase aku Sample Guide for Kubernetes.md	third_party_guide	third_party_guides	multi	English extraction aid						include_exact	exact_markdown	SHARD-015	BLOCK-000913	pass	KAE-BLOCK-000244;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
source_pack_source	SRC-000003	repo	3rd Party Guide for Altibase/eng/Kubernetes User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	English extraction aid						include_exact	exact_markdown	SHARD-015	BLOCK-000914	pass	KAE-BLOCK-000245;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
source_pack_source	SRC-000004	repo	3rd Party Guide for Altibase/eng/NiFi User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	English extraction aid						include_exact	exact_markdown	SHARD-015	BLOCK-000915	pass	KAE-BLOCK-000246;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
source_pack_source	SRC-000005	repo	3rd Party Guide for Altibase/eng/Spring Data JPA User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	English extraction aid						include_exact	exact_markdown	SHARD-015	BLOCK-000916	pass	KAE-BLOCK-000247;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid		candidate_ready_for_stage2_routing	ready_for_guarded_playbook_drafting		S1-J012
source_pack_source	SRC-000006	repo	3rd Party Guide for Altibase/eng/Spring Data JPA With Hibernate 6.4 User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	English extraction aid						include_exact	exact_markdown	SHARD-015	BLOCK-000917	pass	KAE-BLOCK-000248;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid		candidate_ready_for_stage2_routing	ready_for_guarded_playbook_drafting		S1-J012
source_pack_source	SRC-000007	repo	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Tableau User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	English extraction aid						include_exact	exact_markdown	SHARD-015	BLOCK-000918	pass	KAE-BLOCK-000249;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
source_pack_source	SRC-000008	repo	3rd Party Guide for Altibase/kor/Altibase aku Sample Guide for Kubernetes.md	third_party_guide	third_party_guides	multi	Korean authoritative						include_exact	exact_markdown	SHARD-015	BLOCK-000919	pass	KAE-BLOCK-000244;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
source_pack_source	SRC-000009	repo	3rd Party Guide for Altibase/kor/Kubernetes User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	Korean authoritative						include_exact	exact_markdown	SHARD-015	BLOCK-000920	pass	KAE-BLOCK-000245;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
source_pack_source	SRC-000010	repo	3rd Party Guide for Altibase/kor/NiFi User's Guide for Altibase.md	third_party_guide	third_party_guides	multi	Korean authoritative						include_exact	exact_markdown	SHARD-015	BLOCK-000921	pass	KAE-BLOCK-000246;KAE-BLOCK-000274;KAE-BLOCK-000275	pending;aligned	primary_working_source_after_alignment	repo_paired_ko_en;hybrid	CONF-000006	candidate_with_open_recheck_guardrail	guarded_candidate_recheck_before_exhaustive_playbook	An aligned or AID-reuse baseline route exists, but open conflict/recheck rows block exhaustive or production-ready downstream claims.	S1-J012
