id	status	kind	title	goal
S4-J001	Done	mixed	Stage 4 preflight readiness gate	Verify Stage 3 ready/pass status, Stage 3 workflow completion, validation health, APB-000014 deferral, guardrails, AID candidate status, upload-package absence or cleanliness, and unresolved operator-only decisions before package assembly starts.
S4-J002	Done	mixed	Upload package composition and validation scaffold	Define the Stage 4 upload composition plan, manifest schema, package validation checks, file-count policy, AID selection decision path, and source/playbook/attachment routing requirements.
S4-J003	Done	mixed	Version installation administration package assembly	Assemble the version, release, platform, installation, startup, administration, tablespace, backup/recovery, and protected-operation upload-package files.
S4-J004	Done	mixed	SQL reference upload package assembly	Assemble SQL DDL/DCL/DML, Oracle compatibility, data type, property, dictionary, and performance-view upload-package files.
S4-J005	Done	mixed	Troubleshooting performance replication security package assembly	Assemble troubleshooting, error-response, performance tuning, monitoring, replication, CDC, HA, security, SSL, and TLS upload-package files.
S4-J006	Done	mixed	Developer client tools package assembly	Assemble PSM, stored/external procedure, Java/JDBC/Spring/Hibernate, C/CLI/ODBC/ACI/Precompiler, iSQL, iLoader, utility, and operation-tool upload-package files.
S4-J007	Done	mixed	Migration connectors cloud spatial package assembly	Assemble migration, Oracle compatibility, DB Link, external connector, Kubernetes, AKU, Spatial, NiFi, Tableau, and miscellaneous integration upload-package files.
S4-J008	Done	mixed	AID source-limitation and guardrail integration	Apply the final AID upload-content decision, preserve AID classifications and accepted limitations, carry forward CONF guardrails, and record APB-000014 as deferred or explicitly excluded without inflating the upload file count.
S4-J009	Done	mixed	Upload package crosswalks and deterministic validation	Generate upload-package manifests and crosswalks, validate file count, required sections, leakage scans, source/playbook/attachment routes, excluded-source handling, and upload boundary hygiene.
S4-J010	Done	mixed	Retrieval and answerability dry-run gate	Run deterministic retrieval/package checks and benchmark dry-run validation against the assembled package, record any residual gaps, and avoid live-benchmark claims unless a live run is explicitly performed.
S4-J011	Done	mixed	Stage 4 readiness review	Review all Stage 4 outputs, rerun validation, preserve guardrails, and write a ready/pass or not-ready Stage 4 readiness report for final upload or live benchmark rerun routing.
