ref_id	class	verdict	detail
img-00088	E	match	Index-partitioning decision tree: all 4 decision diamonds, 5 outcome nodes, YES/No branch directions match source raster.
img-01213	E	match	Index-partitioning decision tree: all 4 decision diamonds, 5 outcome nodes, YES/No branch directions match source raster.
img-02405	E	match	Index-partitioning decision tree: all 4 decision diamonds, 5 outcome nodes, YES/No branch directions match source raster.
img-03588	E	match	Index-partitioning decision tree: all 4 decision diamonds, 5 outcome nodes, YES/No branch directions match source raster.
img-04735	E	match	Index-partitioning decision tree: all 4 decision diamonds, 5 outcome nodes, YES/No branch directions match source raster.
img-05919	E	match	Index-partitioning decision tree: all 4 decision diamonds, 5 outcome nodes, YES/No branch directions match source raster.
img-00358	E	match	Query-processing steps: Client(Prepare/Bind/Execute/Fetch) and Server pipeline (Parsing-Validation-Optimization-Binding-Execution-Database) with all 4 cross edges match raster.
img-01493	E	match	Query-processing steps: Client(Prepare/Bind/Execute/Fetch) and Server pipeline (Parsing-Validation-Optimization-Binding-Execution-Database) with all 4 cross edges match raster.
img-02674	E	match	Query-processing steps: Client(Prepare/Bind/Execute/Fetch) and Server pipeline (Parsing-Validation-Optimization-Binding-Execution-Database) with all 4 cross edges match raster.
img-03867	E	match	Query-processing steps: Client(Prepare/Bind/Execute/Fetch) and Server pipeline (Parsing-Validation-Optimization-Binding-Execution-Database) with all 4 cross edges match raster.
img-05004	E	match	Query-processing steps: Client(Prepare/Bind/Execute/Fetch) and Server pipeline (Parsing-Validation-Optimization-Binding-Execution-Database) with all 4 cross edges match raster.
img-06200	E	match	Query-processing steps: Client(Prepare/Bind/Execute/Fetch) and Server pipeline (Parsing-Validation-Optimization-Binding-Execution-Database) with all 4 cross edges match raster.
img-00359	E	match	Optimizer structure: ParseTree->QueryRewriter->LogicalPlanGenerator->PhysicalPlanGenerator->ExecutionPlan plus statistics input and edge labels match raster.
img-01494	E	match	Optimizer structure: ParseTree->QueryRewriter->LogicalPlanGenerator->PhysicalPlanGenerator->ExecutionPlan plus statistics input and edge labels match raster.
img-02675	E	match	Optimizer structure: ParseTree->QueryRewriter->LogicalPlanGenerator->PhysicalPlanGenerator->ExecutionPlan plus statistics input and edge labels match raster.
img-03868	E	match	Optimizer structure: ParseTree->QueryRewriter->LogicalPlanGenerator->PhysicalPlanGenerator->ExecutionPlan plus statistics input and edge labels match raster.
img-05005	E	match	Optimizer structure: ParseTree->QueryRewriter->LogicalPlanGenerator->PhysicalPlanGenerator->ExecutionPlan plus statistics input and edge labels match raster.
img-06201	E	match	Optimizer structure: ParseTree->QueryRewriter->LogicalPlanGenerator->PhysicalPlanGenerator->ExecutionPlan plus statistics input and edge labels match raster.
img-00360	E	match	data-type conversion-path graph: re-audited against data_type_conversion_path_kor.gif. Both edges REAL --<0+0+0>--> DOUBLE (lossless widening) and DOUBLE --<0+E+L>--> REAL (lossy narrowing) present with correct direction and labels. Supersedes a prior false-positive material finding that claimed a reversed/duplicated REAL-->DOUBLE edge.
img-01495	E	match	data-type conversion-path graph: re-audited against data_type_conversion_path_kor.gif. Both edges REAL --<0+0+0>--> DOUBLE (lossless widening) and DOUBLE --<0+E+L>--> REAL (lossy narrowing) present with correct direction and labels. Supersedes a prior false-positive material finding that claimed a reversed/duplicated REAL-->DOUBLE edge.
img-02676	E	match	data-type conversion-path graph: re-audited against data_type_conversion_path_kor.gif. Both edges REAL --<0+0+0>--> DOUBLE (lossless widening) and DOUBLE --<0+E+L>--> REAL (lossy narrowing) present with correct direction and labels. Supersedes a prior false-positive material finding that claimed a reversed/duplicated REAL-->DOUBLE edge.
img-03869	E	match	data-type conversion-path graph: re-audited against data_type_conversion_path_kor.gif. Both edges REAL --<0+0+0>--> DOUBLE (lossless widening) and DOUBLE --<0+E+L>--> REAL (lossy narrowing) present with correct direction and labels. Supersedes a prior false-positive material finding that claimed a reversed/duplicated REAL-->DOUBLE edge.
img-05006	E	match	data-type conversion-path graph: re-audited against data_type_conversion_path_kor.gif. Both edges REAL --<0+0+0>--> DOUBLE (lossless widening) and DOUBLE --<0+E+L>--> REAL (lossy narrowing) present with correct direction and labels. Supersedes a prior false-positive material finding that claimed a reversed/duplicated REAL-->DOUBLE edge.
img-06202	E	match	data-type conversion-path graph: re-audited against data_type_conversion_path_kor.gif. Both edges REAL --<0+0+0>--> DOUBLE (lossless widening) and DOUBLE --<0+E+L>--> REAL (lossy narrowing) present with correct direction and labels. Supersedes a prior false-positive material finding that claimed a reversed/duplicated REAL-->DOUBLE edge.
img-07061	E	match	Heartbeat state transition: Ready/Run/Error nodes with 4 labelled transitions (1)(2)(3)(4) and directions match raster.
img-07163	E	match	Heartbeat state transition: Ready/Run/Error nodes with 4 labelled transitions (1)(2)(3)(4) and directions match raster.
img-07265	E	match	Heartbeat state transition: Ready/Run/Error nodes with 4 labelled transitions (1)(2)(3)(4) and directions match raster.
img-07367	E	match	Heartbeat state transition: Ready/Run/Error nodes with 4 labelled transitions (1)(2)(3)(4) and directions match raster.
img-00124	E	match	Admin troubleshooting flow: 4 sequential boxes (Check log->Judge problem type->Collect information->Analyze cause) match raster.
img-02441	E	match	Admin troubleshooting flow: 4 sequential boxes (Check log->Judge problem type->Collect information->Analyze cause) match raster.
img-04771	E	match	Admin troubleshooting flow: 4 sequential boxes (Check log->Judge problem type->Collect information->Analyze cause) match raster.
img-00332	E	match	Log Analyzer basic use: STEP1->2->3a->3b->3c->3d with Repeat loop 3d->3b and 3d->4->5; all per-step API call lists match raster (image '&' rendered as 'and' in step 3c - cosmetic).
img-02649	E	match	Log Analyzer basic use: STEP1->2->3a->3b->3c->3d with Repeat loop 3d->3b and 3d->4->5; all per-step API call lists match raster (image '&' rendered as 'and' in step 3c - cosmetic).
img-04979	E	match	Log Analyzer basic use: STEP1->2->3a->3b->3c->3d with Repeat loop 3d->3b and 3d->4->5; all per-step API call lists match raster (image '&' rendered as 'and' in step 3c - cosmetic).
img-00460	E	match	Replication failover (normal vs abnormal connection): all nodes, the failover branch from INSERT, Connect-to-DB-B, Check-sync, and both Retry edges match raster.
img-02776	E	match	Replication failover (normal vs abnormal connection): all nodes, the failover branch from INSERT, Connect-to-DB-B, Check-sync, and both Retry edges match raster.
img-05106	E	match	Replication failover (normal vs abnormal connection): all nodes, the failover branch from INSERT, Connect-to-DB-B, Check-sync, and both Retry edges match raster.
img-00461	E	match	Replication failover callback sequence across Application/User-Library/callback lanes: all nodes and FO_BEGIN/FO_GO/FO_END/FO_SUCCESS edges match raster.
img-02777	E	match	Replication failover callback sequence across Application/User-Library/callback lanes: all nodes and FO_BEGIN/FO_GO/FO_END/FO_SUCCESS edges match raster.
img-05107	E	match	Replication failover callback sequence across Application/User-Library/callback lanes: all nodes and FO_BEGIN/FO_GO/FO_END/FO_SUCCESS edges match raster.
img-01250	E	match	Korean Admin troubleshooting flow: 4 sequential boxes match raster.
img-03625	E	match	Korean Admin troubleshooting flow: 4 sequential boxes match raster.
img-05956	E	match	Korean Admin troubleshooting flow: 4 sequential boxes match raster.
img-01476	E	match	Korean Log Analyzer basic use: STEP1..5 with Repeat loop and API call lists match raster (image '&' rendered as 'and' in step 3c - cosmetic).
img-03851	E	match	Korean Log Analyzer basic use: STEP1..5 with Repeat loop and API call lists match raster (image '&' rendered as 'and' in step 3c - cosmetic).
img-06184	E	match	Korean Log Analyzer basic use: STEP1..5 with Repeat loop and API call lists match raster (image '&' rendered as 'and' in step 3c - cosmetic).
img-01597	E	match	Korean Replication failover (정상/장애 상황): all nodes, failover branch and 직접재수행/리턴 retry edges match raster.
img-03971	E	match	Korean Replication failover (정상/장애 상황): all nodes, failover branch and 직접재수행/리턴 retry edges match raster.
img-06304	E	match	Korean Replication failover (정상/장애 상황): all nodes, failover branch and 직접재수행/리턴 retry edges match raster.
img-01598	E	match	Korean Replication failover callback sequence: all nodes and FO_* edges match raster.
img-03972	E	match	Korean Replication failover callback sequence: all nodes and FO_* edges match raster.
img-06305	E	match	Korean Replication failover callback sequence: all nodes and FO_* edges match raster.
img-00657	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-00747	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-00751	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-00757	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-00761	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-01795	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-01885	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-01889	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-01895	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-01899	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-02973	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-03063	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-03067	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-03073	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-03077	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-04169	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-04260	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-04264	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-04270	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-04274	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-05304	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-05394	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-05398	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-05404	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-05408	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-06503	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-06594	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-06598	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-06604	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-06608	C	match	autoextend_clause: AUTOEXTEND OFF | ON with optional NEXT integer [K|M|G] and optional maxsize_clause - all paths/tokens/optional markers match railroad diagram.
img-00593	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-00616	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-00683	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-00736	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-01730	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-01754	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-01821	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-01874	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-02909	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-02932	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-02999	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-03052	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-04104	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-04128	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-04195	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-04249	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-05240	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-05263	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-05330	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-05383	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-06438	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-06462	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-06529	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
