id	status	kind	title	goal
J001	Done	docs	Failure inventory and remediation map	Turn the 2026-05-17 root-cause analysis into a source-backed remediation inventory that maps failed benchmark questions to attachment files, missing tokens, and customer answer patterns.
J002	Done	docs	Customer answer contract and GPT instructions	Update the GPT answer contract so beginner and veteran customers receive complete source-backed answers with exact tokens, version boundaries, and safe escalation behavior.
J003	Done	docs	Exact token gap inventory	Source-check required tokens classed as absent or weakly retrievable, then write a prioritized token and syntax gap inventory before editing attachments.
J004	Done	docs	Core identity path and storage properties	Strengthen core, identity, path, memory-directory, database-file, log-anchor, and storage property blocks for defaults, counts, mutability, and startup/restart behavior.
J005	Done	docs	Memory disk volatile and log limit properties	Strengthen memory, disk, volatile, log-size, plan-cache, result-cache, and capacity-limit property blocks with exact defaults, ranges, units, and exceeded-limit behavior.
J006	Done	docs	Optimizer performance session and locale properties	Strengthen optimizer, normalization, lock, timeout, autocommit, session, locale, and performance property blocks with exact values, SQL, and runtime cautions.
J007	Done	docs	Security access replication and network properties	Strengthen account, access-list, SSL/TLS, replication, network, port, and SQL-apply property blocks with exact values, scope, reload behavior, and high-risk cautions.
J008	Done	docs	DDL and storage SQL generation blocks	Strengthen tablespace, datafile, table, partition, index, constraint, LOB storage, and destructive-DDL generation blocks with exact syntax and caveats.
J009	Done	docs	DML functions data types and Oracle-difference blocks	Strengthen DML, expressions, functions, JSON, LOB, data type, object-name, and Oracle migration difference blocks with literal grammar tokens and compatibility cautions.
J010	Done	docs	Error code and troubleshooting blocks	Strengthen error-message, altierr, SQL/property error, tool/driver error, and first-check troubleshooting blocks with exact codes, symbols, cause/action, and escalation inputs.
J011	Done	docs	Installation administration and tablespace runbooks	Strengthen beginner-to-veteran runbooks for installation, licensing, environment setup, startup/shutdown, accounts, privileges, tablespaces, datafiles, and log anchors.
J012	Done	docs	Backup recovery and destructive-operation runbooks	Strengthen protected-topic runbooks for backup, archive log, restore, incomplete recovery, media failure, RESETLOGS, DROP/DISCARD/REUSE, and stop-condition handling.
J013	Done	docs	Replication topology state and SQL blocks	Strengthen replication terminology, topology, state transitions, DDL/control SQL, gap handling, compatibility checks, and unsafe-operation guardrails.
J014	Done	docs	CDC Log Analyzer RepMgr TLS and network blocks	Strengthen CDC, Log Analyzer, Replication Manager, replication SSL, ordinary TLS, certificate, port, and network diagnostic blocks.
J015	Done	docs	Views performance monitoring and optimizer blocks	Strengthen data dictionary, performance view, monitoring API, SNMP, optimizer, execution plan, wait/lock/session, and check-SQL blocks with exact view and column tokens.
J016	Done	docs	PSM CLI ODBC C precompiler iSQL iLoader utility blocks	Strengthen PSM, external procedures, CLI, ODBC, ACI, Precompiler, iSQL, iLoader, utilities, dataCompJ, dump tools, and LOB/API token coverage.
J017	Done	docs	Java connectors migration spatial and integration blocks	Strengthen JDBC, Java, Spring, Hibernate, DB Link, adapters, Kubernetes, AKU, Migration Center, Spatial, NiFi, Tableau, and third-party connector coverage.
J018	Done	docs	Retrieval structure and cross-link pass	Reorganize attachment headings, aliases, cross-references, and compact index blocks so lexical retrieval finds the exact customer-answer block without flooding context.
J019	Done	docs	Targeted benchmark calibration	Run or prepare targeted calibration on representative failed questions using current lexical context, full context, and instruction-aware context; record whether remaining failures are content, retrieval, synthesis, or judge issues.
J020	Done	docs	Residual gap remediation pass	Use the targeted calibration results to fix remaining high-impact attachment and instruction gaps without lowering benchmark expectations.
J021	Done	docs	Customer LLM editorial QA	Review the updated attachment set as a customer-facing LLM corpus for both first-time and veteran Altibase users, including clarity, density, source-backing, and unsafe-answer resistance.
J022	ToDo	docs	Final validation readiness and rerun plan	Run available validation checks, review diffs, update readiness reports, and prepare the final full-benchmark rerun instructions and residual-risk summary.
