source_id	source_origin	source_path	source_role	source_family	title	version_scope	language	authority_label	aid_classification	classification_evidence	selection_decision	extraction_mode	source_sha256	byte_count	line_count	estimated_tokens	selected_by_job	last_verified_job	notes
SRC-000001	repo	3rd Party Guide for Altibase/README.md	third_party_guide	third_party_guides	3rd Party Guide for Altibase	multi	mixed	Repository source evidence			include_exact	exact_markdown	98d166d208b2dca48964ae1ba614c0fa07e22b761af10fb1909f5a9bbfebd6b2	3453	31	864	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000002	repo	3rd Party Guide for Altibase/eng/Altibase aku Sample Guide for Kubernetes.md	third_party_guide	third_party_guides	Altibase aku Sample Guide for Kubernetes	multi	en	English extraction aid			include_exact	exact_markdown	fcad077ee4c10f74c923b2145fe95b55612b53d270298554d66d2ee12c8176d7	20227	584	5057	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000003	repo	3rd Party Guide for Altibase/eng/Kubernetes User's Guide for Altibase.md	third_party_guide	third_party_guides	Kubernetes User's Guide for Altibase	multi	en	English extraction aid			include_exact	exact_markdown	8560e8e44ee36ab022c14b705d48d744684e7042d54fbe01c2c01753c20c084c	21514	545	5379	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000004	repo	3rd Party Guide for Altibase/eng/NiFi User's Guide for Altibase.md	third_party_guide	third_party_guides	NiFi User's Guide for Altibase	multi	en	English extraction aid			include_exact	exact_markdown	7ff39cd210f8641d15c2008e071db240f8d3a8268cded591157526659a9db417	6750	187	1688	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000005	repo	3rd Party Guide for Altibase/eng/Spring Data JPA User's Guide for Altibase.md	third_party_guide	third_party_guides	Spring Data JPA User's Guide for Altibase	multi	en	English extraction aid			include_exact	exact_markdown	baf31529cad01aae271c8f6e41f16061a627f64dcb0bc35d4af256846abf9d3d	8237	276	2060	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000006	repo	3rd Party Guide for Altibase/eng/Spring Data JPA With Hibernate 6.4 User's Guide for Altibase.md	third_party_guide	third_party_guides	Spring Data JPA With Hibernate 6.4 User's Guide for Altibase	multi	en	English extraction aid			include_exact	exact_markdown	743980fb8a8600e0136752af992b5af0bb86115d1073a8664a1145f90d88f423	8548	235	2137	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000007	repo	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Tableau User's Guide for Altibase.md	third_party_guide	third_party_guides	Tableau User's Guide for Altibase	multi	en	English extraction aid			include_exact	exact_markdown	90b40d81d1c190b466251e3b9f1020d20d25141f47711d1a4fa6126891e33b55	2565	86	642	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000008	repo	3rd Party Guide for Altibase/kor/Altibase aku Sample Guide for Kubernetes.md	third_party_guide	third_party_guides	Altibase aku Sample Guide for Kubernetes	multi	ko	Korean authoritative			include_exact	exact_markdown	904a85d2d2c186a9c990640a3e34f2d031c2060ae542231735245580cf29ec17	20626	580	4668	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000009	repo	3rd Party Guide for Altibase/kor/Kubernetes User's Guide for Altibase.md	third_party_guide	third_party_guides	Kubernetes User's Guide for Altibase	multi	ko	Korean authoritative			include_exact	exact_markdown	f6cd36a23b8ff9c569d28e0130e2c086ef3f4b5e74b2ed600da582895f4a4e60	23291	555	4664	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000010	repo	3rd Party Guide for Altibase/kor/NiFi User's Guide for Altibase.md	third_party_guide	third_party_guides	NiFi User's Guide for Altibase	multi	ko	Korean authoritative			include_exact	exact_markdown	bb66f2b33a3b66be328e11010882cff3a8c47d50c362e9a7d9571d40e5ff6d17	7258	203	1339	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000011	repo	3rd Party Guide for Altibase/kor/README.md	third_party_guide	third_party_guides	3rd Party Guide for Altibase - korean	multi	ko	Korean authoritative			include_exact	exact_markdown	6021558ecd8fb6dec3964533835b85d4a6f38ce679ab2246318007c45f9eaa46	2153	15	539	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000012	repo	3rd Party Guide for Altibase/kor/Spring Data JPA User's Guide for Altibase.md	third_party_guide	third_party_guides	Spring Data JPA User's Guide for Altibase	multi	ko	Korean authoritative			include_exact	exact_markdown	9ae6465e265a279d84ecd1020b875103eba8a9a09e1f10808b9b1a2d3206c958	9328	271	1824	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000013	repo	3rd Party Guide for Altibase/kor/Spring Data JPA with Hibernate 6.4 User's Guide for Altibase.md	third_party_guide	third_party_guides	Spring Data JPA with Hibernate 6.4 User's Guide for Altibase	multi	ko	Korean authoritative			include_exact	exact_markdown	571f5830ac1ebd8cb9bc9481c2ef586f32e7c1aa0aed1dcbf6ab2fe6bb011d45	8647	236	1772	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000014	repo	3rd Party Guide for Altibase/kor/Tableau User's Guide for Altibase/Tableau User's Guide for Altibase.md	third_party_guide	third_party_guides	Tableau User's Guide for Altibase	multi	ko	Korean authoritative			include_exact	exact_markdown	71f6cf1342d48efbcac0cb0ce02bab15ad10648608065caeb4758407fccd695b	2943	95	527	S1-J002	S1-J002	Selected repository-local Markdown source from 3rd Party Guide for Altibase.
SRC-000015	repo	Manuals/Altibase_7.1/eng/API User's Manual.md	product_source	c_cli_odbc_precompiler	Application Program Interface User’s Manual	7.1	en	English extraction aid			include_exact	exact_markdown	a3c3a9379730827a355045538061a8fd71e089cd2536b6a6017a496f6f68fb8d	175109	4482	43707	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000016	repo	Manuals/Altibase_7.1/eng/Adapter for JDBC User's Manual.md	product_source	jdbc_java	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	aa92e31e97db154578bf5c1ffc3c0067a4b702b7fe0ff3718929cd91e861628b	54014	1002	13473	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
