aid_source_id	aid_path	aid_tier	source_class	coverage_status	classification_evidence	allowed_downstream_use	required_label	source_manifest_action	source_id	exclusion_id	conflict_id	last_verified_job	notes
AID-000001	~/AID/arch/Home/	upload_content_candidate	Korean-source-verified; Link-validated Korean-source-verified	covered	~/AID/llm-reference/coverage/source-inventory.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md; ~/AID/PASS2_KO_EN_DOC_REVIEW_REPORT.md	primary_working_source_after_file_level_source_manifest_selection	AID stabilized English; preserve per-file Korean-source-verified or Link-validated Korean-source-verified labels	include_exact				S1-J003	181 stabilized English technical Markdown files; exact file-level source_manifest rows are deferred to source-pack extraction.
AID-000002	~/AID/FAQE/Home/ Korean-core verified subset	upload_content_candidate	Korean-source-verified; Link-validated Korean-source-verified	covered	~/AID/source-stabilization/source-classification.tsv; ~/AID/llm-reference/coverage/source-inventory.tsv; ~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	primary_working_source_after_file_level_source_manifest_selection	AID Korean-core FAQE verified source; preserve per-file link-validation labels	include_exact				S1-J003	115 FAQE files are Korean-source-verified or Link-validated Korean-source-verified.
AID-000003	~/AID/FAQE/Home/ English-only auxiliary subset	upload_content_candidate	English-only source	covered_with_risk	~/AID/source-stabilization/source-classification.tsv; ~/AID/llm-reference/00-source-classification.md; ~/AID/llm-reference/coverage/source-inventory.tsv	auxiliary_labeled_only	English-only source or english_only_auxiliary; do not present as Korean-source-verified	include_exact			CONF-000002	S1-J003	126 FAQE auxiliary files are usable only with explicit English-only labels and source-confidence guardrails.
AID-000004	~/AID/llm-reference/README.md; ~/AID/llm-reference/source-index.md; ~/AID/llm-reference/00-source-classification.md; ~/AID/llm-reference/01-*.md through ~/AID/llm-reference/12-*.md; ~/AID/llm-reference/HANDOFF.md; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	upload_content_candidate	Korean-source-verified; Link-validated Korean-source-verified; English-only source; source_limitation labels preserved	complete	~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md; ~/AID/llm-reference/HANDOFF.md; ~/AID/llm-reference/coverage/source-inventory.tsv; ~/AID/llm-reference/coverage/omissions-and-risks.tsv	primary_working_source	AID source-backed llm-reference with preserved labels including English-only source labels	include_exact				S1-J003	18 top-level llm-reference Markdown files are source-backed candidates; coverage ledgers remain evidence-only.
AID-000005	~/AID/llm-reference/gpts-upload/Altibase_GPT_Knowledge_Encyclopedia.md	upload_content_candidate	source-backed llm-reference upload package	complete	~/AID/llm-reference/gpts-upload/UPLOAD_MANIFEST.tsv; ~/AID/llm-reference/gpts-upload/GPTS_READINESS_REPORT.md	upload_package_candidate_for_review	AID GPTS_UPLOAD_READY; counts toward global 20 Markdown upload limit if selected	include_exact				S1-J003	Customer-facing AID bundle is a candidate input for the repository final upload package, not an automatic separate upload.
AID-000006	~/AID/llm-reference/gpts-upload/Altibase_GPT_Knowledge_Audit.md	evidence_only_authority	source-backed llm-reference audit package	complete	~/AID/llm-reference/gpts-upload/UPLOAD_MANIFEST.tsv; ~/AID/llm-reference/gpts-upload/GPTS_READINESS_REPORT.md	support_evidence_only	Optional internal audit evidence	include_support_evidence				S1-J003	Optional/internal only according to AID upload manifest; not required for customer answers.
AID-000007	~/AID/DOCK/Home/	evidence_only_authority	Korean authoritative source	complete	~/AID/semantic-coverage/doc-mapping.tsv; ~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	authority_check_only	AID Korean authority; not direct customer upload	include_support_evidence				S1-J003	51 Korean technical documents remain authority for future AID source cleanup and conflict resolution.
AID-000008	~/AID/faq/Home/	evidence_only_authority	Korean authoritative source	complete	~/AID/semantic-coverage/doc-mapping.tsv; ~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	authority_check_only	AID Korean authority; not direct customer upload	include_support_evidence				S1-J003	115 Korean FAQ documents remain authority for future AID source cleanup and conflict resolution.
AID-000009	~/AID/manifest.json	evidence_only_authority	manifest	complete	~/AID/source-stabilization/validation-report.md; ~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	support_evidence_only	AID manifest evidence	include_support_evidence	AID-000009			S1-J003	Manifest metadata is evidence-only and not customer answer text.
AID-000010	~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	evidence_only_authority	semantic coverage report	complete	~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	support_evidence_only	AID semantic coverage decision evidence	include_support_evidence	AID-000010			S1-J003	Records COMPLETE semantic coverage and zero missing, unverified, or recheck rows after closure.
AID-000011	~/AID/KO_EN_DOC_REVIEW_REPORT.md	evidence_only_authority	review report	complete	~/AID/KO_EN_DOC_REVIEW_REPORT.md	support_evidence_only	AID first-pass Korean-English review evidence	include_support_evidence	AID-000011			S1-J003	First-pass review evidence only.
AID-000012	~/AID/PASS2_KO_EN_DOC_REVIEW_REPORT.md	evidence_only_authority	review report	complete	~/AID/PASS2_KO_EN_DOC_REVIEW_REPORT.md	support_evidence_only	AID pass2 Korean-English review evidence	include_support_evidence	AID-000012			S1-J003	Second-pass review and remaining-risk evidence only.
AID-000013	~/AID/source-stabilization/source-classification.tsv	evidence_only_authority	Korean-source-verified; Link-validated Korean-source-verified; English-only source	complete	~/AID/source-stabilization/source-classification.tsv; ~/AID/source-stabilization/validation-report.md	support_evidence_only	AID source classification evidence	include_support_evidence	AID-000013			S1-J003	Preserves 108 Korean-source-verified, 7 Link-validated Korean-source-verified, and 126 English-only source FAQE rows.
AID-000014	~/AID/source-stabilization/validation-report.md	evidence_only_authority	source-stabilization report	complete	~/AID/source-stabilization/validation-report.md	support_evidence_only	AID READY_FOR_LLM_CONSOLIDATION evidence	include_support_evidence	AID-000014			S1-J003	Records source-stability checks and Phase 3 boundary.
AID-000015	~/AID/source-stabilization/legacy-attachments.tsv accepted limitation rows	accepted_limitation	legacy_attachment_label_only	accepted_source_limitation	~/AID/source-stabilization/legacy-attachments.tsv; ~/AID/source-stabilization/validation-report.md	support_evidence_only	legacy_no_downloadable_url or legacy_attachment_label_only; do not invent URLs	include_support_evidence	AID-000015		CONF-000001	S1-J003	21 legacy labels are limitations where the source has no downloadable URL.
AID-000016	~/AID/source-stabilization/url-backed-attachments.tsv limitation rows	accepted_limitation	legacy_no_downloadable_url; not_document_format	accepted_source_limitation	~/AID/source-stabilization/url-backed-attachments.tsv; ~/AID/source-stabilization/validation-report.md	support_evidence_only	Preserve preserved_url rows; keep legacy_no_downloadable_url and not_document_format limitations	include_support_evidence	AID-000016		CONF-000001	S1-J003	49 preserved URLs are evidence; 8 legacy no-download rows and 20 non-document-format rows remain limitations.
AID-000017	~/AID/llm-reference/00-source-classification.md	evidence_only_authority	source classification guide	complete	~/AID/llm-reference/00-source-classification.md	support_evidence_only	AID source-label handling guide	include_support_evidence	AID-000017			S1-J003	Defines required handling for Korean-source-verified, English-only, legacy attachment, diagram, not-document, and recheck labels.
AID-000018	~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	evidence_only_authority	build report	complete	~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	AID COMPLETE_REFERENCE_PACKAGE evidence	include_support_evidence	AID-000018			S1-J003	Records 422 inventoried source files, zero status-field recheck rows, and accepted limitation labels.
AID-000019	~/AID/llm-reference/HANDOFF.md	evidence_only_authority	handoff report	complete	~/AID/llm-reference/HANDOFF.md	support_evidence_only	AID final handoff and downstream label instructions	include_support_evidence	AID-000019			S1-J003	Records package use order and risk labels to preserve.
AID-000020	~/AID/llm-reference/coverage/source-inventory.tsv	evidence_only_authority	source inventory ledger	covered; covered_with_risk	~/AID/llm-reference/coverage/source-inventory.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	AID source inventory evidence	include_support_evidence	AID-000020			S1-J003	422 rows: 296 covered and 126 covered_with_risk English-only auxiliary rows.
AID-000021	~/AID/llm-reference/coverage/source-to-topic-map.tsv	evidence_only_authority	source-to-topic map	complete	~/AID/llm-reference/coverage/source-to-topic-map.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	AID routing evidence	include_support_evidence	AID-000021			S1-J003	422 mapped rows; evidence-only routing ledger.
AID-000022	~/AID/llm-reference/coverage/semantic-unit-coverage.tsv	accepted_limitation	source_limitation; legacy_attachment_label_only; diagram_unavailable; not_document_format; english_only_auxiliary	covered; accepted_source_limitation; accepted_english_only_auxiliary	~/AID/llm-reference/coverage/semantic-unit-coverage.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	Preserve source limitation and English-only auxiliary labels	include_support_evidence	AID-000022		CONF-000001	S1-J003	2729 semantic-unit rows include accepted limitation statuses and no recheck_required rows.
AID-000023	~/AID/llm-reference/coverage/attachment-diagram-register.tsv	accepted_limitation	legacy_no_downloadable_url; diagram_unavailable; not_document_format	accepted_source_limitation	~/AID/llm-reference/coverage/attachment-diagram-register.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	Do not invent unavailable diagrams, synthetic URLs, or non-document artifact content	include_support_evidence	AID-000023		CONF-000001	S1-J003	825 attachment/diagram rows: preserved_url rows are evidence, while limitations remain labeled.
AID-000024	~/AID/llm-reference/coverage/answerability-backtest.tsv	evidence_only_authority	answerability ledger	complete	~/AID/llm-reference/coverage/answerability-backtest.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	AID answerability evidence	include_support_evidence	AID-000024			S1-J003	622 answerability rows are answerable or answerable_with_source_label.
AID-000025	~/AID/llm-reference/coverage/omissions-and-risks.tsv accepted rows	accepted_limitation	accepted_source_limitation; accepted_english_only_auxiliary; resolved	accepted_source_limitation; accepted_english_only_auxiliary	~/AID/llm-reference/coverage/omissions-and-risks.tsv; ~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md	support_evidence_only	Preserve accepted limitation and accepted English-only auxiliary labels	include_support_evidence	AID-000025		CONF-000001	S1-J003	31 rows: 25 accepted_source_limitation, 5 accepted_english_only_auxiliary, and 1 resolved.
AID-000026	~/AID/semantic-coverage/	evidence_only_authority	semantic coverage evidence	complete	~/AID/semantic-coverage/README.md; ~/AID/semantic-coverage/doc-mapping.tsv; ~/AID/KO_EN_SEMANTIC_COVERAGE_REPORT.md	support_evidence_only	AID semantic coverage evidence; not customer upload content	include_support_evidence				S1-J003	Coverage matrices and notes are evidence-only by default.
AID-000027	~/AID/llm-reference/coverage/	evidence_only_authority	coverage ledgers	complete	~/AID/llm-reference/LLM_REFERENCE_BUILD_REPORT.md; ~/AID/llm-reference/coverage/README.md	support_evidence_only	AID traceability and audit evidence; not customer answer text by default	include_support_evidence				S1-J003	Coverage ledgers support audit, source tracing, and risk-label checks.
AID-000028	~/AID/llm-reference/gpts-upload/README.md; ~/AID/llm-reference/gpts-upload/UPLOAD_MANIFEST.tsv; ~/AID/llm-reference/gpts-upload/GPTS_READINESS_REPORT.md; ~/AID/llm-reference/gpts-upload/VALIDATION_PROCESS.md	evidence_only_authority	GPTs upload packaging evidence	complete	~/AID/llm-reference/gpts-upload/UPLOAD_MANIFEST.tsv; ~/AID/llm-reference/gpts-upload/GPTS_READINESS_REPORT.md	support_evidence_only	AID GPTs packaging evidence	include_support_evidence				S1-J003	Package reports and manifests are evidence-only unless intentionally converted into repository final upload evidence.
