playbook_id	path	title	domain	supported_versions	source_ids	source_pack_block_ids	korean_aligned_baseline_block_ids	aid_route_or_tier	guardrail_ids	generated_artifact_types	protected_topic	required_missing_input_prompts	validation_status	owning_stage2_job	notes
APB-000001	GPTs/agent_playbooks/installation_startup.md	Installation And Startup Playbook	Installation and startup	7.1;7.3;8.1_verified			KAE-BLOCK-000272	not_used_yet	CONF-000004	commands;configuration;runbook;validation_sql	yes	target_version;patch_level;platform;install_path;instance_name;startup_state	planned	S2-J005	Placeholder route for install prerequisites, environment setup, database creation, startup, shutdown, and first checks.
APB-000002	GPTs/agent_playbooks/ddl_generation.md	DDL And DCL Generation Playbook	DDL generation	7.1;7.3;8.1_verified	SRC-000049;SRC-000018;SRC-000056;SRC-000025;SRC-000057;SRC-000026;SRC-000070;SRC-000038;SRC-000072;SRC-000040;SRC-000113;SRC-000082;SRC-000120;SRC-000089;SRC-000121;SRC-000090;SRC-000132;SRC-000101;SRC-000134;SRC-000103;SRC-000173;SRC-000143;SRC-000180;SRC-000150;SRC-000181;SRC-000151;SRC-000192;SRC-000161;SRC-000194;SRC-000163	SRC-000049/BLOCK-000002;SRC-000018/BLOCK-000001;SRC-000056/BLOCK-000515;SRC-000025/BLOCK-000514;SRC-000057/BLOCK-000521;SRC-000026/BLOCK-000520;SRC-000070/BLOCK-000845;SRC-000038/BLOCK-000844;SRC-000072/BLOCK-000884;SRC-000040/BLOCK-000883;SRC-000113/BLOCK-000004;SRC-000082/BLOCK-000003;SRC-000120/BLOCK-000517;SRC-000089/BLOCK-000516;SRC-000121/BLOCK-000523;SRC-000090/BLOCK-000522;SRC-000132/BLOCK-000847;SRC-000101/BLOCK-000846;SRC-000134/BLOCK-000886;SRC-000103/BLOCK-000885;SRC-000173/BLOCK-000006;SRC-000143/BLOCK-000005;SRC-000180/BLOCK-000519;SRC-000150/BLOCK-000518;SRC-000181/BLOCK-000525;SRC-000151/BLOCK-000524;SRC-000192/BLOCK-000849;SRC-000161/BLOCK-000848;SRC-000194/BLOCK-000888;SRC-000163/BLOCK-000887	KAE-BLOCK-000272;KAE-BLOCK-000273	not_used_yet	CONF-000004;CONF-000005	DDL;DCL;SQL;validation_sql	yes	target_version;object_names;schema_names;tablespace_names;privileges;rollback_plan	pass	S2-J003	Source-backed DDL and DCL first-draft route with implicit-commit, destructive-operation, privilege, storage, replication, and version guardrails.
APB-000003	GPTs/agent_playbooks/sql_data_types.md	SQL And Data Types Playbook	SQL and data types	7.1;7.3;8.1_verified	SRC-000056;SRC-000025;SRC-000120;SRC-000089;SRC-000180;SRC-000150;SRC-000072;SRC-000040;SRC-000134;SRC-000103;SRC-000194;SRC-000163	SRC-000056/BLOCK-000515;SRC-000025/BLOCK-000514;SRC-000120/BLOCK-000517;SRC-000089/BLOCK-000516;SRC-000180/BLOCK-000519;SRC-000150/BLOCK-000518;SRC-000072/BLOCK-000884;SRC-000040/BLOCK-000883;SRC-000134/BLOCK-000886;SRC-000103/BLOCK-000885;SRC-000194/BLOCK-000888;SRC-000163/BLOCK-000887	KAE-BLOCK-000273	not_used_yet	CONF-000005	SQL;DML;tests;validation_sql	yes	target_version;object_definitions;data_types;sample_data;expected_result	pass	S2-J003	Source-backed SQL, DML, data type, LOB, JSON, function, expression, and validation first-draft route.
APB-000004	GPTs/agent_playbooks/properties.md	Properties Playbook	Properties	7.1;7.3;8.1_verified	SRC-000056;SRC-000025;SRC-000120;SRC-000089;SRC-000180;SRC-000150;SRC-000072;SRC-000040;SRC-000134;SRC-000103;SRC-000194;SRC-000163	SRC-000056/BLOCK-000515;SRC-000025/BLOCK-000514;SRC-000120/BLOCK-000517;SRC-000089/BLOCK-000516;SRC-000180/BLOCK-000519;SRC-000150/BLOCK-000518;SRC-000072/BLOCK-000884;SRC-000040/BLOCK-000883;SRC-000134/BLOCK-000886;SRC-000103/BLOCK-000885;SRC-000194/BLOCK-000888;SRC-000163/BLOCK-000887	KAE-BLOCK-000272;KAE-BLOCK-000273	not_used_yet	CONF-000004;CONF-000005	configuration;SQL;commands;validation_sql	yes	target_version;property_name;current_value;desired_value;restart_window;rollback_plan	pass	S2-J003	Source-backed property lookup and change artifact route; later admin playbooks may extend protected operational runbooks.
APB-000005	GPTs/agent_playbooks/dictionary_views.md	Dictionary And Views Playbook	Dictionary and views	7.1;7.3;8.1_verified	SRC-000057;SRC-000026;SRC-000121;SRC-000090;SRC-000181;SRC-000151;SRC-000072;SRC-000134;SRC-000194;SRC-000067;SRC-000035;SRC-000129;SRC-000098;SRC-000189;SRC-000159	SRC-000057/BLOCK-000521;SRC-000026/BLOCK-000520;SRC-000121/BLOCK-000523;SRC-000090/BLOCK-000522;SRC-000181/BLOCK-000525;SRC-000151/BLOCK-000524;SRC-000072/BLOCK-000884;SRC-000134/BLOCK-000886;SRC-000194/BLOCK-000888;SRC-000067/BLOCK-000812;SRC-000035/BLOCK-000811;SRC-000129/BLOCK-000814;SRC-000098/BLOCK-000813;SRC-000189/BLOCK-000816;SRC-000159/BLOCK-000815	KAE-BLOCK-000273;KAE-BLOCK-000283	not_used_yet	CONF-000005	SQL;diagnostics;validation_sql	no	target_version;object_name;view_name;expected_columns;runtime_state	pass	S2-J003	Source-backed dictionary, metadata, performance-view, and validation-query generation route.
APB-000006	GPTs/agent_playbooks/backup_recovery.md	Backup And Recovery Playbook	Backup and recovery	7.1;7.3;8.1_verified			KAE-BLOCK-000272	not_used_yet	CONF-000004	commands;runbook;validation_sql;recovery_plan	yes	target_version;backup_mode;archive_log_state;datafile_paths;failure_scope;restore_target;rollback_plan	planned	S2-J005	Placeholder route for logical, offline, online, archive-log, media-failure, and incremental backup or recovery work.
APB-000007	GPTs/agent_playbooks/replication_cdc.md	Replication And CDC Playbook	Replication and CDC	7.1;7.3;8.1_verified;multi			KAE-BLOCK-000272;KAE-BLOCK-000273;KAE-BLOCK-000280;KAE-BLOCK-000286;KAE-BLOCK-000287	not_used_yet	CONF-000004;CONF-000005;CONF-000008	DDL;SQL;commands;configuration;runbook	yes	target_version;patch_level;topology;remote_host;replication_state;logs;rollback_plan	planned	S2-J006	Placeholder route for topology, DDL, states, sync, conflicts, CDC, Log Analyzer, and Replication Manager.
APB-000008	GPTs/agent_playbooks/security_tls.md	Security And TLS Playbook	Security and TLS	7.1;7.3;8.1_verified			KAE-BLOCK-000272;KAE-BLOCK-000274	not_used_yet	CONF-000004;CONF-000006	configuration;commands;code;validation_checks	yes	target_version;certificate_paths;access_policy;client_type;network_path;rollback_plan	planned	S2-J005	Placeholder route for certificates, server and client TLS, ODBC/JDBC/iSQL TLS, access controls, and replication SSL separation.
APB-000009	GPTs/agent_playbooks/odbc_c_clients.md	ODBC And C Clients Playbook	ODBC and C clients	7.1;7.3;8.1_verified			KAE-BLOCK-000274	not_used_yet	CONF-000006	configuration;code;commands;compile_checks;connection_checks	no	target_version;client_package;os;compiler;dsn;library_path;sample_program	planned	S2-J004	Placeholder route for ODBC, CLI, ACI, Precompiler, diagnostics, compile, link, and runtime checks.
APB-000010	GPTs/agent_playbooks/java_jdbc.md	Java And JDBC Playbook	Java and JDBC	7.1;7.3;8.1_verified			KAE-BLOCK-000274	not_used_yet	CONF-000006	configuration;code;commands;tests;connection_checks	no	target_version;jdk_version;driver_jar;framework_version;jdbc_url;credentials_policy	planned	S2-J004	Placeholder route for JDBC URLs, drivers, properties, Java compatibility, Spring, Hibernate, and Adapter for JDBC.
