upload_file_id	upload_path	source_attachment_path	upload_title	package_role	owning_stage4_job	assembly_status	counts_against_20	merge_policy	required_sections	source_route_expectation	baseline_route_expectation	playbook_route_expectation	attachment_route_expectation	aid_candidate_routes	aid_integration_policy	allowed_source_metadata	internal_ids_excluded_from_upload	guardrail_ids_carried	apb_000014_disposition	excluded_source_ids	validation_status	notes
UPKG-000	GPTs/upload_package/00_version_release_platform.md	GPTs/attachments/00_version_release_platform.md	00. Versions, Releases, and Supported Platforms	version_release_platform_boundary	S4-J003	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000003;AID-000004;AID-000005	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve version and patch boundaries, AID source labels, release-note caveats, and global file-count policy; S4-J003 assembled this first operational package slice with package metadata and upload crosswalk rows.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	GPTs/attachments/01_getting_started_installation.md	01. Getting Started and Installation	installation_startup_first_checks	S4-J003	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve installation inputs, platform checks, startup and shutdown phases, package boundaries, and first-run validation; S4-J003 assembled this first operational package slice with package metadata and upload crosswalk rows.
UPKG-002	GPTs/upload_package/02_administration_operations.md	GPTs/attachments/02_administration_operations.md	02. Administration and Operations	administration_backup_recovery_protected_operations	S4-J003	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve protected-operation prompts, backup and recovery stop conditions, object evidence, validation SQL, and rollback notes; S4-J003 assembled this first operational package slice with package metadata and upload crosswalk rows.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	GPTs/attachments/03_sql_ddl_generation.md	03. SQL DDL Generation	sql_ddl_dcl_generation	S4-J004	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve DDL and DCL generation boundaries, destructive SQL prompts, replication-state cautions, source-specific syntax, and exact grammar limitations; assembled by S4-J004.
UPKG-004	GPTs/upload_package/04_sql_dml_oracle_compatibility.md	GPTs/attachments/04_sql_dml_oracle_compatibility.md	04. SQL DML and Oracle Compatibility	sql_dml_functions_oracle_overlap	S4-J004	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000003;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000005;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve Altibase-specific DML, JSON, function, and Oracle-overlap behavior without generic Oracle assumptions; assembled by S4-J004.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	GPTs/attachments/05_data_types_properties.md	05. Data Types and Properties	data_types_properties	S4-J004	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve exact property names, ranges, units, mutability, version gates, runtime check prompts, and property/source limitations; assembled by S4-J004.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	GPTs/attachments/06_data_dictionary_performance_views.md	06. Data Dictionary and Performance Views	dictionary_performance_views_validation_sql	S4-J004	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000005;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve dictionary and performance-view route checks, exact view tokens, runtime-output prompts, and non-exhaustive column limitations; assembled by S4-J004.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	GPTs/attachments/07_error_messages_troubleshooting.md	07. Error Messages and Troubleshooting	errors_troubleshooting	S4-J005	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000003;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve exact error-code response, log/runtime evidence prompts, replication and TLS escalation boundaries, patch-level checks, and protected-operation stop conditions; assembled by S4-J005.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	GPTs/attachments/08_performance_tuning_monitoring.md	08. Performance Tuning and Monitoring	performance_tuning_monitoring	S4-J005	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve tuning evidence limits, runtime logs and metrics prompts, optimizer and monitoring routes, patch checks, and rollback validation before property/index/hint changes; assembled by S4-J005.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	GPTs/attachments/09_replication_ha_cdc.md	09. Replication, HA, and CDC	replication_ha_cdc	S4-J005	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000004;AID-000005	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve topology, state SQL, gap checks, CDC, Log Analyzer, Replication Manager, protocol, network, replication SSL, port, certificate, and rebuild guardrails; assembled by S4-J005.
UPKG-010	GPTs/upload_package/10_psm_stored_external_procedures.md	GPTs/attachments/10_psm_stored_external_procedures.md	10. PSM, Stored Procedures, and External Procedures	psm_stored_external_procedures	S4-J006	assembled	yes	preserve_attachment_filename	Package Role;Applicable Versions And Authority;Questions This File Can Answer;Retrieval Alias Index;Source Routes;Task And Playbook Routing;Answer-Ready Reference;Required Inputs And Stop Conditions;Validation And Rollback Checks;Cross-References;Residual Scope And Limitations	from_source_pack_to_attachment_crosswalk;exact_source_required_for_item_claims	crosswalk_only_no_KAE_ids_in_upload	from_playbook_to_attachment_crosswalk;APB-000014_deferred	copy_or_transform_stage3_attachment	AID-000001;AID-000002;AID-000003;AID-000004	integrate_by_topic_preserve_labels;no_separate_aid_file;defer_unmatched_to_S4-J008	SRC_AND_AID_SRC_IDS;SOURCE_PACK_BLOCK_IDS;AUTHORITY_LABELS	KAE-BLOCK_IDS;APB_IDS;CONF_IDS;S3_SCOPE_IDS;JOB_IDS;LOCAL_PATHS;AID_TIER_IDS	CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	deferred_no_customer_playbook;scenario_tests_not_upload_evidence	SRC-000109;SRC-000169	assembled_validated	Preserve PSM, stored-function, package, trigger, external-procedure, native-library, compile/runtime, source-exclusion, and generated-artifact guardrails; assembled by S4-J006.
